#CODE                                          ;SED+VIET;VIET;OTHER;SED;VANILLA
#Additional Objectives.csv;;;;;
#HKC Christian Stuff.csv;;;;;
king_female_north_african                      ;        ;Sultana;;;
kingdom_of_north_african                       ;        ;Sultanate of;;;
county_north_african                           ;        ;Sheikhdom;;;
duchy_north_african                            ;        ;Emirate;;;
kingdom_north_african                          ;        ;Sultanate;;;
job_chancellor_north_african                   ;        ;Grand Vizier;;;
emperor_north_african                          ;        ;Badshah;;;
#VIET_wafrica_stuff.csv;;;;;
#VIET_zhongguo.csv;;;;;
#Zhayedan.csv;;;;;
#council_shuffling.csv;;;;;
#meltingpot_events.csv;;;;;
#ordepchains.csv;;;;;
