#CODE                                        ;SED+VIET;VIET;SWMH;OTHER;SED;VANILLA
#zj_Additional Objectives.csv;;;;;
#zj_HKC Christian Stuff.csv;;;;;
family_palace_baron_central_germanic         ;        ;Grand Burgher;;;;
family_palace_baron_female_central_germanic  ;        ;Grand Burgheress;;;;
family_palace_baron_prussian                 ;        ;Grand Burgher;;;;
family_palace_baron_female_prussian          ;        ;Grand Burgheress;;;;
family_palace_baron_bohemian                 ;        ;Grand Burgher;;;;
family_palace_baron_female_bohemian          ;        ;Grand Burgheress;;;;
city_count_italian                           ;Lord    ;Signore;Podestà;;Podestà;
city_count_female_italian                    ;Lady    ;Signora;;;;
city_county_of_italian                       ;        ;Comune of;Comune di;;Comune of;
city_count_sicilian                          ;Lord    ;Signore;Podestà;;Podestà;
city_count_female_sicilian                   ;Lady    ;Signora;;;;
city_county_of_sicilian                      ;        ;Comune of;Comune di;;Comune of;
city_count_iberian                           ;        ;Corregidor;;;;
city_county_of_iberian                       ;Corregimiento of;Corregimento of;;;;
city_baron_iberian                           ;        ;Alcade;;;;
title_prince_iberian                         ;        ;Infante;;;;
title_prince_female_iberian                  ;        ;Infanta;;;;
city_king_pagan_group                        ;        ;Paramount Chief;;;;
city_duke_pagan_group                        ;        ;Tribal Elder;;;;
city_count_pagan_group                       ;        ;Clan Elder;;;;
city_baron_pagan_group                       ;        ;Village Elder;;;;
city_kingdom_of_pagan_group                  ;        ;Nation of;;;;
city_duchy_of_pagan_group                    ;        ;Tribe of;;;;
city_county_of_pagan_group                   ;        ;Clan of;;;;
barony_of_north_african                      ;        ;Ksar of;;;;
barony_north_african                         ;        ;Ksar;;;;
city_count_norman                            ;        ;Reeve;;;;
city_duke_norman                             ;High-Reeve;High Reeve;;;;
city_job_chancellor                          ;        ;Ambassador;;;;
title_tanist_saxon                           ;Ætheling;Aetheling;;;;
duke_lombard                                 ;        ;Prince;;;;
duchy_of_lombard                             ;        ;Principality of;;;;
#zj_VIET_Immersion_misc.csv;;;;;
title_despot                                 ;        ;Symbasileus;;;Despot;Despot
title_despot_desc                            ;Symbasileus was a title bestowed upon the oldest sons of emperors when they were crowned as co-emperors alongside their fathers.;Symbasileus was a title bestowed upon the oldest sons of Emperors when they were crowned as co-Emperors alongside their Father.;;;Despot is the highest honorary title in the Byzantine Empire, second only to the Emperor. It can only be granted to close relatives, traditionally the oldest son.;Despot is the highest honorary title in the Byzantine Empire, second only to the Emperor. It can only be granted to close relatives, traditionally the oldest son.
title_lawspeaker                             ;        ;Lawspeaker;;;Lawspeaker;Lawspeaker
title_lawspeaker_desc                        ;Lawspeaker was a unique Scandinavian legal office. It has its basis in a common Germanic oral tradition, where wise men were asked to recite the law, but it was only in Scandinavia that the function evolved into an office.;A lawspeaker was a unique Scandinavian legal office. It has its basis in a common Germanic oral tradition, where wise men were asked to recite the law, but it was only in Scandinavia that the function evolved into an office.;;;The lawspeaker memorizes the law of the realm and serves as its highest judicator. Needless to say, this comes with a great amount of prestige and responsibility.;The Lawspeaker memorizes the law of the realm and serves as its highest judicator. Needless to say, this comes with a great amount of prestige and responsibility.
title_marcher_lord                           ;        ;Marcher Lord;Marcher Lord;;Marcher Lord;
title_marcher_lord_desc                      ;A Marcher Lord was a strong and trusted noble appointed by the King of England to guard the border (known as the Welsh Marches) between England and Wales.;A Marcher Lord was a strong and trusted noble appointed by the King of England to guard the border (known as the Welsh Marches) between England and Wales.;The Welsh Marches were created as entities during the process of the Norman subjugation of Wales. Being bestowed a Marcher Lordship meant endowment of privileges not seen elsewhere in the English kingdom, principally of which was the exemption from royal writ and the freedom to construct castles and grant market rights without royal approval inside the jurisdiction of the lordship.;;The Welsh Marches were created as entities during the process of the Norman subjugation of Wales. Being bestowed a Marcher Lordship meant endowment of privileges not seen elsewhere in the English kingdom, principally of which was the exemption from royal writ and the freedom to construct castles and grant market rights without royal approval inside the jurisdiction of the lordship.;
title_noyan                                  ;        ;Dog of War;;;Noyan;Noyan
title_noyan_desc                             ;During the Mongol conquests, Genghis Khan named four of his top generals as “dogs of war” – Subutai, Jebe, Jelme, and Khubilai. They were considered his most trusted and most capable military commanders, and they played key roles in several of Genghis Khan’s campaigns. The title probably came about because Mongols had a lot of dogs, and dogs were very useful for people’s lives in hunting and warnings.;During the Mongol world conquests, Genghis Khan named four of his top generals as so-called "Dogs of War" - Subotai, Jebe, Jelme, and Khubilai. They were considered his most trusted and most capable military commanders, and they played key roles in several of Genghis Khan's campaigns. The title probably came about because Mongols had a lot of dogs, and dogs were very useful for people's lives in hunting and warnings.;;;This title was originally granted to Mongolian battlefield commanders, but as they were awarded conquered land to administrate, it came to represent a form of higher nobility.;This title was originally granted to Mongolian battlefield commanders, but as they were awarded conquered land to administrate, it came to represent a form of higher nobility.
ca_culture_jewish_1                          ;        ;Jewish Heavy Infantry Barracks;;;Jewish Heavy Infantry Barracks;Jewish Heavy Infantry Barracks
ca_culture_jewish_2                          ;        ;Jewish Heavy Infantry Barracks;;;Jewish Heavy Infantry Barracks;Jewish Heavy Infantry Barracks
ca_culture_jewish_3                          ;        ;Jewish Heavy Infantry Barracks;;;Jewish Heavy Infantry Barracks;Jewish Heavy Infantry Barracks
ca_culture_jewish_4                          ;        ;Jewish Heavy Infantry Barracks;;;Jewish Heavy Infantry Barracks;Jewish Heavy Infantry Barracks
ca_culture_jewish_1_desc                     ;        ;This is where the elite infantry serving a Jewish ruler is trained. Special care is taken to equip the soldiers with the finest heavy armor that money can buy. This, combined with rigorous training and iron discipline, makes them an elite force to be truly feared.;;;This is where the elite infantry serving a Jewish ruler is trained. Special care is taken to equip the soldiers with the finest heavy armor that money can buy. This, combined with rigorous training and iron discipline, makes them an elite force to be truly feared.;This is where the elite infantry serving a Jewish ruler is trained. Special care is taken to equip the soldiers with the finest heavy armor that money can buy. This, combined with rigorous training and iron discipline, makes them an elite force to be truly feared.
raider                                       ;        ;Raider;Raider;;Raider;
raider_desc                                  ;        ;This pagan has acquired much fame as a fearsome raider.;This character is widely known as terrifying pillager and looter.;;This character is widely known as terrifying pillager and looter.;
title_court_musician_christian               ;        ;Court Minstrel;;;;
title_court_musician_celtic                  ;        ;Court Bard;;;;
title_court_musician_west_germanic           ;        ;Court Bard;;;;
title_court_musician_latin                   ;        ;Court Troubadour;;;;
title_court_musician_female_latin            ;        ;Court Trobairitz;;;;
title_court_musician_iberian                 ;        ;Court Troubadour;;;;
title_court_musician_female_iberian          ;        ;Court Trobairitz;;;;
title_court_musician_andalusian_arabic       ;        ;Court Musician;;;;
title_court_musician_female_andalusian_arabic;        ;Court Musician;;;;
title_court_musician_south_slavic            ;        ;Court Guslar;;;;
title_court_musician_east_slavic             ;Okolnichy;Court Okolnichy;;;;
title_court_musician_altaic                  ;        ;Court Ashik;;;;
title_court_musician_iranian                 ;        ;Court Ashik;;;;
title_court_musician_georgian                ;        ;Court Ashik;;;;
title_court_musician_armenian                ;        ;Court Ashik;;;;
title_court_musician_east_african            ;        ;Court Azmari;;;;
#zj_VIET_Intro_Text.csv;;;;;
#zj_VIET_PB.csv;;;;;
temple_emperor_female_christian              ;        ;Empress-Bishop;;;;
temple_king_female_catholic                  ;        ;Queen-Bishop;;;;
temple_king_female_orthodox                  ;        ;Queen-Bishop;;;;
temple_duke_female_catholic                  ;        ;Princess-Archbishop;;;;
temple_duke_female_orthodox                  ;        ;Princess-Archbishop;;;;
temple_count_female_catholic                 ;        ;Princess-Bishop;;;;
city_emperor_female                          ;        ;Grand Princess;;;;
count_title_ruler_consort_saxon              ;        ;Earl;Ealdorman;;;
count_title_ruler_consort_english            ;        ;Earl;Earl;;;
count_title_ruler_consort_scottish           ;        ;Earl;Earl;;;
count_title_ruler_consort_irish              ;        ;Earl;Ri Buiden;;;
count_title_ruler_consort_welsh              ;Earl    ;Earl;Tywysoges;;Tywysoges;
emperor_title_ruler_consort_altaic           ;        ;Khagan;;;;
emperor_title_ruler_consort_female_altaic    ;        ;Khatun;;;;
king_title_ruler_consort_altaic              ;        ;Khan;;;;
king_title_ruler_consort_female_altaic       ;        ;Khanum;;;;
duke_title_ruler_consort_greek               ;        ;Doux;Doux;;;
king_title_ruler_consort_greek               ;        ;Despot;Despotes;;;
emperor_title_ruler_consort_greek            ;        ;Basileus;;;;
emperor_title_ruler_consort_russian          ;Tsar    ;Tsar;Velikiy Kniaz;;Grand Duke;
emperor_title_ruler_consort_female_russian   ;        ;Tsaritsa;Tsaritsa;;Tsarina;
baron_title_ruler_consort_arabic             ;        ;Wâli;;;;
count_title_ruler_consort_arabic             ;        ;Sheikh;;;;
duke_title_ruler_consort_arabic              ;        ;Emir;;;;
king_title_ruler_consort_arabic              ;        ;Sultan;;;;
baron_title_ruler_consort_turkish            ;        ;Timariot;;;;
count_title_ruler_consort_turkish            ;        ;Bey;;;;
duke_title_ruler_consort_turkish             ;        ;Beylerbey;;;;
king_title_ruler_consort_turkish             ;        ;Sultan;;;;
emperor_title_ruler_consort_turkish          ;        ;Padishah;;;;
baron_title_ruler_consort_iranian            ;        ;Muqtab;;;;
count_title_ruler_consort_iranian            ;        ;Wâli;;;;
duke_title_ruler_consort_iranian             ;        ;Emir;;;;
king_title_ruler_consort_iranian             ;        ;Sultan;;;;
emperor_title_ruler_consort_iranian          ;        ;Shahanshah;;;;
baron_title_ruler_consort_mongol             ;        ;Taishi;;;;
count_title_ruler_consort_mongol             ;        ;Chief;;;;
duke_title_ruler_consort_mongol              ;        ;High Chief;;;;
duke_title_ruler_consort_pagan_group         ;        ;High Chief;;;;
duke_title_ruler_consort_norse_pagan         ;        ;Jarl;;;;
count_title_ruler_consort_pagan_group        ;        ;Chief;;;;
baron_title_ruler_consort_pagan_group        ;        ;Hetman;;;;
baron_title_ruler_consort_norse_pagan        ;        ;Lord;;;;
#zj_VIET_Republics_text.csv;;;;;
d_hormuz                                     ;Sistan  ;Sistan;Hormuz;;Ormus;
d_hormuz_adj                                 ;Sistan  ;Sistan;Hormuzí;;Ormusi;
d_ragusa                                     ;Ragusa  ;Ragusa;Dubrovnik;Ragusa,Ragusium,Raguia;Dubrovnik;
d_ragusa_adj                                 ;Ragusan ;Ragusan;Dubrovnikan;;Dubrovnikan;
#zj_VIET_Scarborough_Fair.csv;;;;;
#zj_VIET_Silk_Road.csv;;;;;
#zj_VIET_Special_Events.csv;;;;;
#zj_VIET_Traits.csv;;;;;
#zj_VIET_ancillaries.csv;;;;;
#zj_VIET_bitter.csv;;;;;
#zj_VIET_cinnamon.csv;;;;;
#zj_VIET_customization.csv;;;;;
#zj_VIET_death.csv;;;;;
#zj_VIET_eastern_religions_stuff.csv;;;;;
#zj_VIET_fantasy.csv;;;;;
#zj_VIET_heresy_flavor.csv;;;;;
#zj_VIET_historical.csv;;;;;
#zj_VIET_ipad_misc_fun.csv;;;;;
#zj_VIET_jewish.csv;;;;;
karaite                                      ;        ;Karaite;;;Karaite;Karaite
ashkenazi                                    ;        ;Ashkenazi;Ashkenazi;;Ashkenazi Jewish;Ashkenazi
jewish                                       ;        ;Rabbinic;;;Jewish;Jewish
samaritan                                    ;        ;Samaritan;;;Samaritan;Samaritan
khazar                                       ;        ;Khazar;Qasar;;Khazar;Khazar
k_israel                                     ;        ;Israel;;;Israel;Israel
job_spiritual_jewish_group                   ;        ;Chief Rabbi;Chief Rabbi;;Chief Rabbi;Court Rabbi
temple_baron_jewish_group                    ;        ;Rabbi;Rabbi;;Rabbi;Rabbi
temple_count_jewish_group                    ;Grand Rabbi;Grand Rabbi;Great Rabbi;;Great Rabbi;Kohen
temple_duke_jewish_group                     ;Nagid   ;Nagid;Melech;;Malik;Rabban
temple_king_jewish_group                     ;Grand Nagid;Grand Nagid;Melech haMelachim;;King of Kings;Nasi
temple_kingdom_of_jewish_group               ;Grand Sanhedrin of;Grand Sanhedrin of;Great Sanhedrin of;;Great Sanhedrin of;Theocracy of
temple_duchy_of_jewish_group                 ;Sanhedrin of;Sanhedrin of;Lesser Sanhedrin of;;Lesser Sanhedrin of;
temple_county_of_jewish_group                ;        ;Beit Din of;Beth din of;;Beth Din of;Theocracy of
temple_barony_of_jewish_group                ;        ;Synagogue of;Synagogue of;;Synagogue of;Temple of
#zj_VIET_jordarkelf.csv;;;;;
#zj_VIET_love_like_and_hate.csv;;;;;
#zj_VIET_marriage.csv;;;;;
#zj_VIET_modifiers.csv;;;;;
#zj_VIET_monogatari.csv;;;;;
#zj_VIET_narrative.csv;;;;;
#zj_VIET_nicknames.csv;;;;;
#zj_VIET_other_romans_stuff.csv;;;;;
#zj_VIET_pagan_stuff.csv;;;;;
#zj_VIET_random_mods_stuff.csv;;;;;
baron_kurdish                                ;Muqta   ;Wâli;Muqtá';;Muqta;
baron_female_kurdish                         ;Wâli    ;Wâlia;;;;
barony_of_kurdish                            ;        ;Wilayah of;;;;
count_kurdish                                ;Sheikh  ;Sheikh;Ustandár;;Ustandar;
count_female_kurdish                         ;Shaykhah;Shaykhah;Ustandáreh;;Ustandar;
county_of_kurdish                            ;Sheikhdom of;Sheikhdom of;Ustan-e;;Province of;
duke_kurdish                                 ;        ;Emir;Emir;;Emir;
duke_female_kurdish                          ;        ;Emira;;;;
duchy_of_kurdish                             ;        ;Emirate of;Emírát-e;;Emirate of;
king_kurdish                                 ;Sultan  ;Sultan;Sháh;;Shah;
king_female_kurdish                          ;        ;Sultana;;;;
kingdom_of_kurdish                           ;        ;Sultanate of;;;;
barony_kurdish                               ;        ;Wilayah;;;;
county_kurdish                               ;Sheikhdom;Sheikhdom;Ustan;;Province;
duchy_kurdish                                ;        ;Emirate;Emírát;;Emirate;
kingdom_kurdish                              ;        ;Sultanate;;;;
job_chancellor_kurdish                       ;        ;Grand Vizier;;;;
emperor_kurdish                              ;Badshah ;Badshah;Sháhansháh;;Shahanshah;
baron_north_african                          ;        ;Wâli;;;;
baron_female_north_african                   ;Wâli    ;Wâlia;;;;
count_north_african                          ;        ;Sheikh;;;;
count_female_north_african                   ;        ;Shaykhah;;;;
county_of_north_african                      ;        ;Sheikhdom of;;;;
duke_north_african                           ;        ;Emir;;;;
duke_female_north_african                    ;        ;Emira;;;;
duchy_of_north_african                       ;        ;Emirate of;;;;
king_north_african                           ;        ;Sultan;;;;
king_female_north_african                    ;        ;Sultana;;;;
kingdom_of_north_african                     ;        ;Sultanate of;;;;
county_north_african                         ;        ;Sheikhdom;;;;
duchy_north_african                          ;        ;Emirate;;;;
kingdom_north_african                        ;        ;Sultanate;;;;
job_chancellor_north_african                 ;        ;Grand Vizier;;;;
emperor_north_african                        ;Padishah;Badshah;;;;
#zj_VIET_wafrica_stuff.csv;;;;;
#zj_VIET_zhongguo.csv;;;;;
#zj_Zhayedan.csv;;;;;
#zj_council_shuffling.csv;;;;;
#zj_meltingpot_events.csv;;;;;
#zj_ordepchains.csv;;;;;
