#ID       ;SED+ARKO;SED;ARKO;OTHER;CULTURE;CHARACTERS
#00_dynasties.txt;;;;;;
1214      ;        ;;Sleggja;Sleggja;norse;
1215      ;        ;;Smjör;Smjör;norse;
1216      ;        ;;Stjarna;Stjarna;norse;
1217      ;        ;;Strúgr;Strúgr;norse;
1218      ;        ;;Sælendingr;Sælendingr;norse;
1219      ;        ;;Súrr;Súrr;norse;
1220      ;        ;;Sælingr;Sælingr;norse;
1221      ;        ;;Trausti;Trausti;norse;
1222      ;        ;;Veðr;Veðr;norse;
1223      ;        ;;Vámúli;Vámúli;norse;
1224      ;        ;;Væni;Væni;norse;
1225      ;        ;;Þistill;Þistill;norse;
1226      ;        ;;Þjófi;Þjófi;norse;
1227      ;        ;;Þynning;Þynning;norse;
1687      ;        ;;Dunkeld;Dunkeld;scottish;982|986|988|992|7388|202968|202998|202999|203000|203015|203510|203511|203512|203520|203548|230521|232678|30912|6900|6902|6903|7379|7459|984|960|962|964|202995|167014|167015|167016|167017|167018
2000      ;        ;;Lahtinen;Lahtinen;finnish;
2001      ;        ;;Benkestokk;Benkestokk;norwegian;
2002      ;        ;;Handingmann;Handingmann;norwegian;
2003      ;        ;;Aspa;Aspa;norwegian;
2004      ;        ;;Aurland;Aurland;norwegian;
2005      ;        ;;Bjarkøy;Bjarkøy;norwegian;
2006      ;        ;;Andenes;Andenes;norwegian;
2007      ;        ;;Blakar;Blakar;norwegian;
2008      ;        ;;Blindheim;Blindheim;norwegian;
2009      ;        ;;Botner;Botner;norwegian;
2010      ;        ;;Bratt;Bratt;norwegian;
2011      ;        ;;Darre;Darre;danish;
2012      ;        ;;Eeg;Egge;danish;
2013      ;        ;;Dall;Dall;saxon;
2014      ;        ;;Slee;Slee;saxon;
2015      ;        ;;Asdal;Asdal;norwegian;
2016      ;        ;;Hudfat;Hudfat;norwegian;
2017      ;        ;;Hård;Hård;swedish;
2018      ;        ;;Kane;Kane;norwegian;
2019      ;        ;;Kiil;Kiil;saxon;
2020      ;        ;;Kusse;Kusse;danish;
2021      ;        ;;Losna;Losna;norwegian;
2022      ;        ;;Mel;Mel;saxon;
2023      ;        ;;Munk;Munk;danish;
2024      ;        ;;Ringnes;Ringnes;norwegian;
2025      ;        ;;Semeleng;Semeleng;norwegian;
2026      ;        ;;Spånheim;Spånheim;norwegian;
2027      ;        ;;Gjesling;Gjesling;swedish;
2028      ;        ;;Sudrheim;Sudrheim;norwegian;
2029      ;        ;;Talgje;Talgje;norwegian;
2030      ;        ;;Teiste;Teiste;norwegian;
2031      ;        ;;Østby;Østby;norwegian;
2032      ;        ;;Østråt;Østråt;norwegian;
2033      ;        ;;Rein;Rein;norwegian;202030|202032|202034|202035|202040|202043|161127|161128|161124|183909
2034      ;        ;;Giske;Giske;norwegian;
2035      ;        ;;Kamp;Kamp;norwegian;
2036      ;        ;;Nordhagen;Nordhagen;norwegian;
2037      ;        ;;Holter;Holter;saxon;
2038      ;        ;;Bjelke;Bjelke;swedish;
2039      ;        ;;Bolt;Bolt;norwegian;
2040      ;        ;;Galle;Galle;norwegian;
2041      ;        ;;Galtung;Galtung;norwegian;
2042      ;        ;;Hjerne;Hjerne;norwegian;
2043      ;        ;;Kamp;Kamp;norwegian;
2044      ;        ;;Rømer;Rømer;norwegian;
2045      ;        ;;Skanke;Skanke;norwegian;
2046      ;        ;;Smør;Smør;norwegian;
2047      ;        ;;Staur;Staur;norwegian;
2050      ;        ;;Skjegge;Skjegge;norwegian;
3092      ;        ;;Cameron;Cameron;scottish;
3093      ;        ;;Campbell;Campbell;scottish;
3094      ;        ;;Mac Amhlaigh;Mac Amhlaigh;scottish;
3100      ;        ;;Mac Léoit;Mac Léoit;scottish;
3101      ;        ;;Mac Domnaill;Mac Domnaill;scottish;
3102      ;        ;;Mac DubSithe;Mac DubSithe;scottish;
3103      ;        ;;Mac Néill;Mac Néill;scottish;
3104      ;        ;;Mac Áeda;Mac Áeda;scottish;6010|6012|6014|203002|83588|83589|83590|83591
3105      ;        ;;Mac Cainnig;Mac Cainnig;scottish;
3106      ;        ;;na Ceardadh;na Ceardadh;scottish;
3107      ;        ;;Mac Finnagáin;Mac Finnagáin;scottish;
3108      ;        ;;Mac Gregoir;Mac Gregoir;scottish;967
3109      ;        ;;Mac Dubgaill;Mac Dubgaill;scottish;
3110      ;        ;;Gunn;Gunn;norwegian;
3111      ;        ;;Mac in Rothaich;Mac in Rothaich;scottish;
3112      ;        ;;Neacail;Neacail;scottish;
3113      ;        ;;Ceiteach;Ceiteach;irish;
3117      ;        ;;a' Phearsain;a' Phearsain;scottish;
3119      ;        ;;Friseal;Friseal;scottish;
3099      ;        ;;Grannd;Grannd;scottish;
3098      ;        ;;Sdíbard;Sdíbard;scottish;
3097      ;        ;;Lachlainn;Lachlainn;scottish;
3138      ;        ;;Craigies;Craigies;scottish;
3114      ;        ;;Mac Bethain;Mac Bethain;scottish;220038
3115      ;        ;;Mac in Toisich;Mac in Toisich;scottish;
3116      ;        ;;Mac Gillebrath;Mac Gillebrath;scottish;
3096      ;        ;;Mac a' Phearsain;Mac a' Phearsain;scottish;
3118      ;        ;;Barclay;Barclay;scottish;
3095      ;        ;;Fraser;Fraser;scottish;
3120      ;        ;;de Ramsay;de Ramsay;scottish;
3121      ;        ;;Mac Duib;Mac Duib;scottish;131002|131004|202977|202978|203010|203033|203034|220039|453008|453010|453038|453039|453041|453065|453516|7366|7369|7386|7398|7399|453068|453069|188924
3122      ;        ;;de Lindsay;de Lindsay;scottish;332035|454992|453609|161375|161376|161377|161378|161379|161380|161381|161382
3123      ;        ;;de Brus;de Brus;norman;144949|144950|203546|203547|453061|453073|453500|453501|453503|453504|453505|453506|453507|453508|453509|453510|453511|453512|453513|453514|453515|453517|453520|453522|7617|144947|144948
3124      ;        ;;Ceanadach;Ceanadach;scottish;
3125      ;        ;;Douglas;Douglas;scottish;453518|453519|453600|453603|453605|453606|453607|453608|453610|453611|7289|7290|7291
3126      ;        ;;Mac Fergusa;Mac Fergusa;scottish;
3127      ;        ;;Mac Amlaigh;Mac Amlaigh;scottish;
3128      ;        ;;Caimbeul;Caimbeul;scottish;453009|453071|453074|453075|453077|453078|453079|453080|7279|188920|188934|188935|188936|188937|188938|188939|188940|188941|188942|188943|188944
3129      ;        ;;Camshron;Camshron;scottish;
3130      ;        ;;Gordon;Gordon;scottish;
3131      ;        ;;Sgain;Sgain;scottish;
3132      ;        ;;Grant;Grant;scottish;
3133      ;        ;;Wallace;Wallace;scottish;188957|188958|188959|188960
3134      ;        ;;Stewart;Stewart;scottish;203041|180048|180049|180710|180711|180712|180713|180714|180715|144241|453007|453021|453027|453028|453029|453030|453032|453033|453034|453036|453059|453601|203011|203013|203040|203541|203027|180716|180717|188925
3135      ;        ;;Emenon;Emenon;frankish;163067
3140      ;        ;;Forbes;Forbes;scottish;
3141      ;        ;;Armstrong;Armstrong;scottish;
3142      ;        ;;Johnston;Johnston;scottish;
3143      ;        ;;Mac Áegusa;Mac Áegusa;scottish;
3145      ;        ;;a Sratha Balgaid;a Sratha Balgaid;scottish;453002|453037
3146      ;        ;;Randolph;Randolph;saxon;453004|453058|453060|453062|7397
3811      ;        ;;Bonde;Bonde;swedish;194235|194236|194237|194238|194239|194240
3950      ;        ;;Vajlok;Vajlok;hungarian;157100
3951      ;        ;;Wester;Wester;swedish;157101
3952      ;        ;;Helmehytte;Helmehytte;norwegian;
3953      ;        ;;Pilhufvud;Pilhufvud;swedish;157000
4000      ;        ;;Percy;Percy;saxon;
4001      ;        ;;Mortimer;Mortimer;norman;454051|454052|454053|454055|161610|161611|161613|161614|161616|161617|161618|161619|161628|161629|161630|161631|161632|161633|161640|161642|161643|161644|161645|161646|161647|161648|161649|161651|161653|161654|161681|161688|180056|41019
4002      ;        ;;Despencer;Despencer;saxon;161665|161666|161667|161668|161669|161670|161671|161672|161673|454573
4003      ;        ;;de Montfort;de Montfort;frankish;144157|144180|144181|144182|144183|144185|144186|204586|204686|205820|205821|205822|205824|41220|41222|41223|41226|455010|462141|70863|7442|7465|7466|91021|91201|138237|161409|200101
4004      ;        ;;Neville;Neville;norman;
4005      ;        ;;Scrope;Scrope;norman;
4007      ;        ;;Bacon;Bacon;saxon;129036
4008      ;        ;;Reresby;Reresby;saxon;
4009      ;        ;;Cornwallis;Cornwallis;saxon;
4010      ;        ;;Clifford;Clifford;saxon;454600|454602|454603|454604|82084
4011      ;        ;;Giffard;Giffard;norman;161452|41015|32138|32139|32140|32141|32142|32143|155246|1000226031|1000226036
4012      ;        ;;Crispin;Crispin;norman;1000227359|1000227400
4013      ;        ;;Carew;Carew;saxon;
4014      ;        ;;Maddock;Maddock;saxon;
4015      ;        ;;de Turberville;de Turberville;english;
4016      ;        ;;Fortescue;Fortescue;saxon;
4017      ;        ;;Bourchier;Bourchier;norman;
4018      ;        ;;Stanley;Stanley;norman;
4019      ;        ;;de Ros;de Ros;saxon;454554
4020      ;        ;;Talbot;Talbot;norman;
4021      ;        ;;Howard;Howard;saxon;
4022      ;        ;;Maudit;Maudit;saxon;
4023      ;        ;;d'Audley;d'Audley;norman;454610|454611|161677|161679|161680|161682|161683|161684|161685|161686|161687|161689|161690
4024      ;        ;;Berkeley;Berkeley;saxon;332025
4025      ;        ;;Barton;Barton;saxon;
4026      ;        ;;de St John;de St John;norman;31005
4027      ;        ;;de Seagrave;de Seagrave;norman;
4028      ;        ;;Colvile;Colvile;saxon;
4029      ;        ;;de Fauconberg;de Fauconberg;norman;
4030      ;        ;;de Leyburne;de Leyburne;norman;
4031      ;        ;;Grey;Grey;saxon;
4032      ;        ;;de Greystock;de Greystock;norman;
4033      ;        ;;de Lisle;de Lisle;norman;
4034      ;        ;;de Burgh;de Burgh;saxon;231055|454050|454106|454107|454150|454151|454152|454153|454154|454155|454612|454613|454614|7458|7460|453502
4035      ;        ;;de Holland;de Holland;english;454576|454577|183211|183212|183213|183214|183215|183216|183217|183218|183219|183220|183221|183222
4036      ;        ;;d'Ufford;d'Ufford;norman;454030|454032|454033|454034|454035|454036|454037|454038
4037      ;        ;;de Lacy;de Lacy;norman;204020|204021|204022|204023|454023|454040|454043|454045|454047|7284|7428|31381|129082|129084|129085|129087|129089|129090|129083|1000227361|1000227362|1000227363|1000227364|1000227365
4038      ;        ;;de Frenes;de Frenes;norman;454042
4039      ;        ;;Darcy;Darcy;saxon;454100|454101|454103|454104|454105
4040      ;        ;;Butler;Butler;english;204038|204039|204041|204042|232680|454110|454111|454113|454114|83375|83376|83377|83378|83379|83380|83381|180790
4041      ;        ;;FitzGerald;FitzGerald;norman;454112|454120|454121|454122|454123|454124|454125|454126|161453|161454|161455|161456|161458|161459
4042      ;        ;;de Cherleton;de Cherleton;norman;454210|454212|454213|454214
4043      ;        ;;Ua Domnaill;Ua Domnaill;irish;83055|83056|83057|83058|83059|83061|83062|83063|83064|83065|83066|83067|83068|83069|83070|83071|83072
4044      ;        ;;Ua Ruairc;Ua Ruairc;irish;
4045      ;        ;;Ua Máil Eóin;Ua Máil Eóin;irish;454204
4046      ;        ;;FitzPatrick;FitzPatrick;irish;
4047      ;        ;;d'Avranches;d'Avranches;norman;41250|41251|41252|41253|41254|41255|82059|82085|32210
5000      ;        ;;d'Harcourt;d'Harcourt;norman;455433
5001      ;        ;;de Rochechouart;de Rochechouart;frankish;40308|40310|40313|40312|138073|138097|138099|138100|138101|138102|138104|138105|138106|138107|138108
5002      ;        ;;de Mortemart;de Mortemart;frankish;138398
5003      ;        ;;de Gramont;de Gramont;frankish;93806|93807|93808|93809|93810|93811|93812|93813|93814|93815|93816|93817|93818|93819|93820|93821|93822|93823|93824|93825|93826|93827|93828
5004      ;        ;;de la Rochefoucauld;de la Rochefoucauld;frankish;
5005      ;        ;;de Caumont;de Caumont;frankish;
5006      ;        ;;de Serrant;de Serrant;frankish;
5007      ;        ;;de la Roche Aymon;de la Roche Aymon;frankish;138425
5008      ;        ;;de Lévis;de Lévis;frankish;138281
5009      ;        ;;de Villeneuve;de Villeneuve;frankish;
5010      ;        ;;de Prunelé;de Prunelé;norman;
5011      ;        ;;de Beaufort;de Beaufort;norman;
5012      ;        ;;de Cosnac;de Cosnac;norman;
5013      ;        ;;de Bauffremont;de Beauffremont;frankish;
5014      ;        ;;de Chalencon;de Chalencon;frankish;10039
5015      ;        ;;de Polignac;de Polignac;frankish;
5016      ;        ;;de Riencourt;de Riencourt;frankish;
5017      ;        ;;de Matignon;de Matignon;norman;
5018      ;        ;;de Pontevès;de Pontevès;occitan;
5019      ;        ;;de Sabran;de Sabran;occitan;10035|91142
5020      ;        ;;de Crussol;de Crussol;occitan;
5021      ;        ;;de Quatrebarbes;de Quatrebarbes;occitan;
5022      ;        ;;de Menthon;de Menthon;frankish;
5023      ;        ;;d'Argouges;d'Argouges;frankish;
5024      ;        ;;de Noailles;de Noailles;frankish;
5025      ;        ;;de Mostuejouls;de Mostuejouls;frankish;
5026      ;        ;;de Briey;de Briey;frankish;
5027      ;        ;;de Vogué;de Vogué;frankish;138393
5028      ;        ;;de la Panouse;de la Panouse;occitan;
5029      ;        ;;de Tournemire;de Tournemire;frankish;
5030      ;        ;;de Curières;de Curières;frankish;
5031      ;        ;;de Lévezou;de Lévezou;occitan;
5032      ;        ;;de Beauvau;de Beauvau;frankish;
5033      ;        ;;de Rohan;de Rohan;norman;
5034      ;        ;;Chabot;Chabot;frankish;138006
5035      ;        ;;de Menou;de Menou;frankish;
5036      ;        ;;de la Rochelambert;de la Rochelambert;occitan;
5037      ;        ;;de Cadoine;de Cadoine;occitan;
5038      ;        ;;de Saint-Gilles;de Saint-Gilles;frankish;
5039      ;        ;;de Montrichard;de Montrichard;frankish;
5040      ;        ;;d'Abzac;d'Abzac;frankish;
5041      ;        ;;de Loubens;de Loubens;frankish;
5043      ;        ;;de Kerret;de Kerret;occitan;
5044      ;        ;;de Donges;de Donges;occitan;
5045      ;        ;;de Pontchâteau;de Pontchâteau;frankish;
5046      ;        ;;de Vitré;de Vitré;frankish;
5047      ;        ;;d'Estouville;d'Estouville;frankish;
5048      ;        ;;de Forz;de Forz;norman;
5049      ;        ;;de Mauvoisin;de Mauvoisin;frankish;
5050      ;        ;;de Montbray;de Montbray;norman;
5051      ;        ;;de Rouvray;de Rouvray;occitan;
5052      ;        ;;de Say;de Say;norman;203043
5053      ;        ;;de Blaison;de Blaison;frankish;
5054      ;        ;;de Craon;de Craon;frankish;
5055      ;        ;;de l'Isle;de l'Isle;norman;
5056      ;        ;;de Mayenne;de Mayenne;frankish;91129
5057      ;        ;;de Mello;de Mello;frankish;455851|91132|91194|161708|161709|161710|161711|161712|161713|161714|161715|161716|161717|161718|161719|161943|161983
5058      ;        ;;des Roches;des Roches;frankish;155250
5059      ;        ;;de Sablé;de Sablé;frankish;
5060      ;        ;;d'Avesnes;d'Avesnes;frankish;31100|31104|31106|31108|31113|31120|31121|31122|462742|462931|487011|487013|94008|94023|31094|31095|31097|31099|31101|31102|31103|31105|31107|31109|31110|31111|31112|31115|31116|31343|455611|455615|462741|91055|94009|94011|31376|91193|161903
5061      ;        ;;de Beaumont;de Beaumont;norman;204580|204582|204583|204584|204590|204592|204595|204710|204711|204715|204781|204791|7441|7443|7449|7450|7451|32506|129056|161426|161434|161602|129057|204576|204596|204717
5062      ;        ;;Clément;Clément;frankish;
5063      ;        ;;du Perche;du Perche;frankish;
5064      ;        ;;des Barres;des Barres;frankish;
5065      ;        ;;de Senlis;de Senlis;norman;161435|161436|161437|161438|161439|161446|161447|204786|161431|161432|161433
5066      ;        ;;de Campistron;de Campistron;frankish;205896
5067      ;        ;;de Corbeil;de Corbeil;norman;161330
5069      ;        ;;de Garlande;de Garlande;saxon;91133
5070      ;        ;;de Marly;de Marly;frankish;
5071      ;        ;;de Melun;de Melun;frankish;1000093013
5072      ;        ;;de Meulan;de Meulan;frankish;204577
5073      ;        ;;de Montmorency;de Montmorency;frankish;455779|32176|72437
5074      ;        ;;de Nanteuil;de Nanteuil;frankish;
5075      ;        ;;de Neauphle;de Neauphle;frankish;
5076      ;        ;;de Poissy;de Poissy;occitan;
5077      ;        ;;de Saint-Denis;de Saint-Denis;frankish;
5078      ;        ;;de Voisins;de Voisins;frankish;72445
5079      ;        ;;de Boves;de Boves;frankish;
5080      ;        ;;de Cayeux;de Cayeux;occitan;
5081      ;        ;;de Coucy;de Coucy;frankish;144235|144236|204980|204981|204982|204983|204984|204985|204990|454980|454990|454991|454993|454995|454996|454998|455000|455001|455002|6901|161385
5082      ;        ;;de Fontaines;de Fontaines;frankish;910042|910044
5083      ;        ;;de Nesle;de Nesle;frankish;161386|161387|161388|161389|161390|161391|161392|161393|161394|161395|161396|161397|161398|161399|161400|161401|161402|161403|161404|161405|161406|161407|161408
5084      ;        ;;de Picquigny;de Picquigny;frankish;31372|32269
5085      ;        ;;de Roucy;de Roucy;frankish;
5086      ;        ;;de Saint-Valéry;de Saint-Valéry;frankish;
5087      ;        ;;Tyrel;Tyrel;norman;
5088      ;        ;;de Bar;de Bar;frankish;
5089      ;        ;;de Grandpré;de Grandpré;frankish;161960|161961|161962|161963|161964|161965|161966|161931|161958
5090      ;        ;;de Joigny;de Joigny;frankish;40440|40442|40443|40444|40445|40446
5091      ;        ;;de Villehardouin;de Villehardouin;frankish;31335|31336|31337|31338|31339|31340|31341|31342
5092      ;        ;;de Beaujeu;de Beaujeu;occitan;200187|200188|205682
5093      ;        ;;de Donzy;de Donzy;frankish;91153
5094      ;        ;;de Thury;de Thury;norman;
5095      ;        ;;de Vergy;de Vergy;occitan;138411
5096      ;        ;;de Gourdon;de Gourdon;occitan;
5097      ;        ;;de Mauléon;de Mauléon;frankish;40028
5098      ;        ;;de Turenne;de Turenne;frankish;138093|138109
5099      ;        ;;de Astarac;d'Astarac;occitan;
5100      ;        ;;de Lomagne;de Lomagne;frankish;40017|40901|40904|40902|40903|138117|138119|138123|138126|138137|138138|138116|138118|138120|138122|138124|138125|138121|138128|138130|138132|138133|138135|455641|455640|455646|455644|455645
5101      ;        ;;de Montesquiou;de Montesquiou;frankish;138272
5102      ;        ;;de Alfaro;de Alfaro;castillan;
5103      ;        ;;d'Anduze;d'Anduze;occitan;138370|138372|138373|138374|138376|138378|138380|138382|138384|138386|138388|138390|138392
5104      ;        ;;de Cardaillac;de Cardaillac;frankish;
5105      ;        ;;de Gontaut;de Gontaut;frankish;
5106      ;        ;;de Puylaurens;de Puylaurens;occitan;
5107      ;        ;;de Roquefeuil;de Roquefeuil;frankish;
5108      ;        ;;de Barbaira;de Barbaira;frankish;
5109      ;        ;;de Durfort;de Durfort;frankish;
5110      ;        ;;d'Hautpoul;d'Hautpoul;frankish;
5111      ;        ;;de Laurac;de Laurac;frankish;
5112      ;        ;;de Saissac;de Saissac;frankish;
5113      ;        ;;de Termes;de Termes;frankish;
5114      ;        ;;de Castelbon;de Castelbon;occitan;
5115      ;        ;;de Durban;de Durban;frankish;
5116      ;        ;;de Fenolhet;de Fenolhet;occitan;
5117      ;        ;;des Baux;des Baux;occitan;20283|40470|40471|40472|32781|32782|32783|32784|32530|32515|32516|32517|32518|32519|32520|32521|32522|32523|32524|32525|32526|32527|32529|32531|32532|32533|455456
6000      ;        ;;van Egmond;van Egmond;dutch;
6001      ;        ;;van Amstel;van Amstel;dutch;33595|33596|33597|33598|33599|33600|33601|33602|33603|33604|33605|33606|33607|33608|33609
6002      ;        ;;van Arkel;van Arkel;dutch;
6003      ;        ;;van Boutersem;van Boutershem;dutch;
6004      ;        ;;van Brederode;van Brederode;dutch;
6005      ;        ;;van Brunesheim;van Brunesheim;dutch;
6006      ;        ;;van Breda;van Breda;dutch;
6007      ;        ;;van Heemskerk;van Heemskerk;dutch;
6008      ;        ;;van Gaveren;van Gaveren;dutch;
6009      ;        ;;van Glymes;van Glymes;dutch;
6010      ;        ;;van Grimberghe;van Grimberghe;dutch;
6011      ;        ;;van Hurne;van Hurne;dutch;
6012      ;        ;;van Renesse;van Renesse;dutch;
6013      ;        ;;van Wesemael;van Wesemael;dutch;
6014      ;        ;;van Wassenaer;van Wassenaer;dutch;
6015      ;        ;;van Rheden;van Rheden;dutch;
6016      ;        ;;van Bronckhorst;van Bronckhorst;dutch;30061|30309|31759|31797|161558|161559|161560|161561
6017      ;        ;;van Keppel;van Keppel;dutch;
6018      ;        ;;van Voorst;van Voorst;dutch;
6019      ;        ;;van Bahr;van Lathum;dutch;
6021      ;        ;;van Swane;van Swane;dutch;
6022      ;        ;;van Wisch;van Wisch;dutch;
7000      ;        ;;de Amaya;de Amaya;basque;107601|107630|70078|70079|70076
7001      ;        ;;de Azagra;de Azagra;basque;71573|71574|71575|72039|72041|72042|72043|72044|72046|72048|72050
7002      ;        ;;Benavides;Benavides;basque;
7003      ;        ;;Ponce de León;Ponce de León;castillan;457671|458020|458021|458022|458023|458025|458026|458027|458028|458030|72171|73041|73050|73051|73054|73055|73056|73057|73058|73059|73060|73061|73062|73063|73064|73065|73070|73071|73072|73073|73074|73075|73076|73078|73079|73080|73081|73082|73083|73084|73085|73086|73087|73088|73090|73091|73092|73093
7004      ;        ;;Barrientos;Barrientos;castillan;
7005      ;        ;;de Ceballos;de Ceballos;castillan;
7006      ;        ;;de Toledo;de Toledo;castillan;
7007      ;        ;;de Córdoba;de Córdoba;castillan;
7008      ;        ;;de Godoy;de Godoy;castillan;
7009      ;        ;;de la Vega;de la Vega;castillan;
7010      ;        ;;de Guzmán;de Guzmán;castillan;458007|458009|458010|458011|73099|73100|73102|73103|73104|73105|73106|73107|73108|73109|73110|73111|73112|73113|73114|73115|73116|73117|73118|73119|73120|73122|73123|73124|73125|73126|73128|73129|73130|73131|73132|73133|73134|73135|73136|73140|73142|73143|73144|73145|73146|73148
7011      ;        ;;de Villalobos;de Villalobos;castillan;71504|72611|72612|72613|72614|72615|72616|72617|72618|72619|72636|72638|72639|72640|72641|72644|72645|72646|72647|72648|72649
7012      ;        ;;de Castilla;de Castella;visigothic;107641|107650|107660|107661|107670|107672|107673|107680|107682|107684|107685|107686|107688|107689|70250|70252|70255|70256|70257|70258|70259|70260|70264|70265|70266|70267|70268|70286|73763|73765|73766|73767|73769|200074|200065
7013      ;        ;;de Noreña;de Noreña;castillan;
7014      ;        ;;de Gijón;de Gijón;castillan;
7015      ;        ;;de Sotomayor;de Sotomayor;castillan;
7016      ;        ;;de Zúñiga;de Zúñiga;basque;
7017      ;        ;;de Cáceres;de Cáceres;castillan;
7018      ;        ;;de Solís;de Solís;castillan;
7019      ;        ;;de Siones;de Siones;portuguese;73152
7020      ;        ;;de Quiñones;de Quiñones;castillan;73153
7021      ;        ;;de Quintana;de Quintana;castillan;73156
7022      ;        ;;de Padilla;de Padilla;castillan;73163
7023      ;        ;;de Pereira;de Pereira;portuguese;72929
7024      ;        ;;de Villena;de Villena;catalan;457622|457630|457631|457632|457633|457635|71476|71477|71478|71479|71480|71481|71482|71483|71485
7025      ;        ;;de Girón;de Girón;castillan;72377|72961|72962|72963|72965|72966|72967|72968|72969|72982|72983|72984|72985|72986|72987|72988|72989|72990|72991|72992|72993|72994|72996|72997|72998|72999|73001|73002|73004|73005|73006|73007|73008|73009|73010|73011|73012|73013|73014|73015|73016|73017|73018|73020|73021|73022|73023|73024|73025|73027|73028|73029|73030|73031
7026      ;        ;;de Marañón;de Marañón;castillan;70136|72668|72669|72670|72671|72672|72673|72674|72675|72676|72677
7027      ;        ;;de Candamio;de Candamio;castillan;
7028      ;        ;;Barragán;Barragán;castillan;
7029      ;        ;;Mejía;Mejía;castillan;
7030      ;        ;;Cabeza de Vaca;Cabeza de Vaca;castillan;
7031      ;        ;;de Villagarcía;de Villagarcía;castillan;
7032      ;        ;;de Figueroa;de Figueroa;catalan;
7033      ;        ;;de Luna;de Luna;castillan;71719|71743|71978|200106
70434     ;        ;;de la Cueva;de la Cueva;castillan;
7035      ;        ;;de Pacheco;de Pacheco;castillan;72637
7036      ;        ;;de Cárdenas;de Cárdenas;castillan;72024|72025|72026
7037      ;        ;;Fernández;Fernández;castillan;70095
7038      ;        ;;Pérez;Pérez;castillan;
7039      ;        ;;Ruíz;Ruíz;castillan;
7040      ;        ;;López;López;castillan;
7041      ;        ;;Díaz;Díaz;castillan;
7042      ;        ;;Alonso;Alonso;castillan;
7043      ;        ;;Sánchez;Sánchez;castillan;458002
7044      ;        ;;Láinez;Láinez;castillan;108551
7045      ;        ;;de Aviz;de Aviz;portuguese;
7046      ;        ;;de Prado;de Prado;castillan;457015
7047      ;        ;;de Fonseca;de Fonseca;portuguese;457020|457022|457023
7048      ;        ;;da Cunha;da Cunha;portuguese;457021
7049      ;        ;;Coronel;Coronel;basque;458008
7050      ;        ;;de Lauria;de Lauria;italian;71666|71698|71704|71705|71707|71708|71709|71702|71703
7051      ;        ;;de Tusculum;Tusculani;italian;7917|7913|7915
7052      ;        ;;de Provence;Bosonid;frankish;6877|400|7561|7921|7923|7977|7978|167000|167001|7927|7928|110572|110641|110661|127013|333|401|402|404|406|407|408|40804|40805|409|410|420|422|40802|40800|40801|40803|7980|7924|7925|144972|7976
7100      ;        ;;von Nellenburg;von Nellenburg;german;33109|33616
7101      ;        ;;von Arnstein;von Arnstein;german;30051
7102      ;        ;;van Kamerijk;van Kamerijk;dutch;
7103      ;        ;;von Süpplingenburg;von Supplingenburg;german;212603|30217|30218|30219|30220
7104      ;        ;;von Plotzkau;von Plotzkau;german;30234|30260|30261|30262|161252|161253|161254
7105      ;        ;;von Katlenburg;von Katlenburg;german;30248|30249
7106      ;        ;;von Goslar;von Goslar;german;30300
7107      ;        ;;von Bremen;von Bremen;german;30301|30302|30303|30304
7108      ;        ;;von Köln;von Köln;german;30305
7109      ;        ;;von Wunstorf;von Wunstorf;german;30308
7110      ;        ;;von Heimburg;von Goltern;german;30310
7111      ;        ;;von Wölpe;von Wölpe;german;30311
7112      ;        ;;Grand;Grand;danish;30313
7113      ;        ;;von Holte;von Holte;german;30315|30321|30326|30327|30328|30329
7114      ;        ;;von Are;von Are;german;30318|33158|33170
7115      ;        ;;von Wippra;von Wippra;german;30319
7116      ;        ;;von Isenberg;von Isenberg;german;462361|33120
7117      ;        ;;von der Mark;von der Mark;german;30330|30331
7118      ;        ;;van Diest;von Diest;dutch;30332
7119      ;        ;;von Rietberg;von Rietberg;german;144220|30333|30358|30360
7120      ;        ;;von Löningen;von Löningen;german;30335
7121      ;        ;;von Corvey;von Corvey;german;30336
7122      ;        ;;von Steinfurt;von Steinfurt;german;30341
7123      ;        ;;von Tecklenburg;von Tecklenburg;german;30348|30350|30351|30352|31803|31804
7124      ;        ;;von Rüssel;von Rüssel;german;30356
7125      ;        ;;von Waldeck;von Waldeck;german;30357|33223|33228|33229|33230|33231|33232|33233|33234|33235|33236|33237|33238|33239|33240|33241
7126      ;        ;;von Ravensberg;von Ravensberg;german;30361
7127      ;        ;;von Weyhe;von Weyhe;german;30362
7128      ;        ;;Cirksena;Cirksena;dutch;30363|30364|30365|30366|30367|30368|30369|30370|30371|30372|30373|30374|30375|30376|30377|30378|462171|462173
7129      ;        ;;van Visquard;van Visquard;dutch;30379
7130      ;        ;;von Grotthuß;van Groothusen;german;30380
7131      ;        ;;von Hoya;von Hoya;german;30080
7132      ;        ;;von Dachau;von Dachau;german;
7133      ;        ;;von Bassenheim;von Bassenheim;german;30400
7134      ;        ;;von Kerpen;von Kerpen;german;30401
7135      ;        ;;von Tunna;von Tunna;german;30402
7136      ;        ;;von Salza;von Salza;german;30403
7137      ;        ;;von Malberg;von Malberg;german;30405
7138      ;        ;;von Hohenlohe;von Hohenlohe;german;144540|144541|30406|30413|30418|30419|30420|73360|73363|73364|73365|73366|73367|73368|73369|73370|73371|73372|73373|73374|73375
7139      ;        ;;von Wüllersleben;von Wüllersleben;german;30407
