#ID       ;SED     ;SWMH;CULTURE;CHARACTERS
#01_tuscan dynastiesSWMH.txt;;;;
1000053154;        ;Hrungnir;gothic;1000140058
1000053155;        ;Hornklofi;norwegian;1000140059
#24_republic dynastiesSWMH.txt;;;;
1000053169;        ;af Giaethning;danish;1000144299|1000144301|1000144323|1000144303|1000144325|1000144305|1000144307|1000144324|1000144309|1000144311|1000144313|1000144315|1000144317|1000144319|1000144321
1000053170;        ;af Brethaestath;danish;1000144353|1000144331|1000144333|1000144335|1000144337|1000144339|1000144341|1000144343|1000144345|1000144347|1000144349|1000144351
1000053171;        ;fan Odenbel;frisian;1000144361|1000144363|1000144365|1000144367|1000144369|1000144371|1000144373|1000144375|1000144377|1000144379|1000144381
1000053172;        ;fan Brääklem;frisian;1000144391|1000144393|1000144395|1000144397|1000144399|1000144401|1000144403|1000144405|1000144407|1000144409
1000053173;        ;fan Taning;frisian;1000144421|1000144423|1000144425|1000144427|1000144429|1000144431|1000144433|1000144435|1000144437
1000053174;        ;af Læk;danish;1000144300
1000053175;        ;af Tunnighen;danish;1000144302
1000053176;        ;af Breeklum;danish;1000144330
1000053177;        ;af Odenbøl;danish;
1000053178;        ;af Horsbøl;danish;
1000053179;        ;af Hatsted;danish;1000144332
1000053180;        ;fan Hoorbel;frisian;1000233557|1000144424
1000053181;        ;fan Pälweerm;frisian;1000144362
1000053182;        ;fan Haatst;frisian;1000144364
1000053183;        ;fan Hüsem;frisian;1000144394
#25_finnish group dynastiesSWMH.txt;;;;
1000053350;        ;Harjulane;ugricbaltic;28026|228026
1000053351;        ;Virulane;ugricbaltic;
1000053352;        ;Järvalane;ugricbaltic;
1000053353;        ;Ugandilane;ugricbaltic;28025|1000227621|1000227622|1000227623|1000227624|1000227625|1000227626
1000053354;        ;Vaialane;ugricbaltic;
1000053355;        ;Laanlane;ugricbaltic;
1000053356;        ;Saarlane;ugricbaltic;28021|144640|228021
1000053357;        ;Vanemalane;ugricbaltic;
1000053358;        ;Mõtsa Puoll;livonian;1000227550|1000227551|1000227552|1000227553|1000227554|1000227555|1000227556|1000227557|1000227558|1000227559|1000227560|1000227561
1000053359;        ;Sakala;livonian;1000227562|1000227563|1000227564|1000227565|1000227566|1000227567|1000227568|1000227569|1000227570|1000227571|1000227572|1000227573|1000227593|1000227594
1000053360;        ;Toreida;livonian;28023|143150|143151|228023|1000227574|1000227575|1000227576|1000227577|1000227578|1000227579|1000227580
1000053361;        ;Inkerilainen;karelian;28007|6830|144638|144639|228007|1000233820|1000233821|1000233822|1000233823|1000233824
1000053362;        ;Vanema;livonian;1000227581|1000227582|1000227583|1000227584|1000227585|1000227586|1000227587|1000227588|1000227589|1000227590|1000227591|1000227592|1000227627|1000227628
1000053363;        ;Kilikunda;ugricbaltic;1000227607
1000053364;        ;Mahu;ugricbaltic;
1000053365;        ;Lemmu;ugricbaltic;1000227595|1000227596|1000227597|1000227598|1000227599|1000227600|1000227601|1000227602|1000227603|1000227604|1000227605|1000227606
1000053366;        ;Rebala;ugricbaltic;
1000053367;        ;Alutaguse;ugricbaltic;
1000053368;        ;Vütla;mari;1000227630|1000227631|1000227632|1000227633|1000227634|1000227635|1000227636|1000227637|1000227638|1000227639|1000227640|1000227641|1000227642|1000227643|1000227644|1000227645|1000227646
1000053369;        ;Izhevüd;mari;1000227650|1000227651|1000227652|1000227653|1000227654|1000227655|1000227656|1000227657|1000227658|1000227659|1000227660|1000227661|1000227662|1000227663|1000227664|1000227665
1000053370;        ;Polum;khanty;1000227682|1000227683|1000227684|1000227685|1000227686|1000227687|1000227688|1000227689|1000227690|1000227691|1000227692|1000227693|1000227694|1000227695|1000227696|1000227697|1000227698|1000227699|1000233613|1000233614|1000233616|1000233617|1000233618|1000233619
1000053371;        ;Burtas;mordvin;1000233620|1000233621|1000233622|1000233623|1000233624|1000233625|1000233626|1000233627|1000233628|1000233629|1000233630|1000233631|1000233632|1000233633|1000233634
1000053372;        ;Vice;mari;
1000053373;        ;Porec;mari;
1000053374;        ;Yum;mari;1000233713|1000233650|1000233651|1000233652|1000233653|1000233654|1000233655|1000233656|1000233657
1000053375;        ;Sikhirit;samoyed;1000233681|1000233682|1000233683|1000233684|1000233685|1000233686|1000233687|1000233688|1000233689|1000233690|1000233691|1000233692|1000233693|1000233694|1000233695|1000233696
1000053376;        ;Erzä;mordvin;1000233635|1000233636|1000233637|1000233638|1000233639|1000233640|1000233641|1000233642|1000233643|1000233644|1000233645|1000233646|1000233647|1000233648|1000233649
1000053377;        ;Malmyž;mari;1000233658|1000233659|1000233660|1000233661|1000233662|1000233663|1000233664
1000053378;        ;Kakšan;mari;1000233665|1000233666|1000233667|1000233668|1000233669|1000233670|1000233671|1000233672|1000233673|1000233674|1000233675|1000233676|1000233677|1000233678|1000233679|1000233680
1000053379;        ;Mokšet;mordvin;1000233697|1000233698|1000233699|1000233700|1000233701|1000233702|1000233703|1000233704|1000233705|1000233706|1000233707|1000233708
1000100650;        ;Burmort;komi;
1000100651;        ;Vil‘os;komi;
1000100652;        ;Vil'yur;komi;
1000100653;        ;Vil‘og;komi;
1000100654;        ;Osh;komi;
1000100655;        ;Gut;komi;
1000100656;        ;Dozmör;komi;
1000100657;        ;Zhun‘;komi;
1000100658;        ;Zer;komi;
1000100659;        ;Zör;komi;
1000100660;        ;Chöskyd;komi;
1000100661;        ;Ichöt;komi;
1000100662;        ;Kan‘;komi;
1000100663;        ;Katshös;komi;
1000100664;        ;Köin;komi;
1000100665;        ;Kal’og;komi;
1000100666;        ;Köch;komi;
1000100667;        ;Kul‘;komi;
1000100668;        ;Kushpel‘;komi;
1000100669;        ;Kynkurög;komi;
1000100670;        ;Mosh;komi;
1000100671;        ;Kyrnysh;komi;
1000100672;        ;Kyr;komi;
1000100673;        ;Kys;komi;
1000100674;        ;Kychi;komi;
1000100675;        ;Luz;komi;
1000100676;        ;Kychka;komi;
1000100677;        ;Lyampa;komi;
1000100678;        ;Möskok;komi;
1000100679;        ;Kuz‘;komi;
1000100680;        ;Cheran‘;komi;
1000100681;        ;Syuz‘;komi;
1000100682;        ;Sizim;komi;
1000100683;        ;Röch;komi;
1000100684;        ;Pistög;komi;
1000100685;        ;Chöt;komi;
1000100686;        ;Maybyr;komi;
1000100688;        ;Sheksha;khanty;
1000100689;        ;Jov;mordvin;1000233709|1000233710|1000233711|1000233712
1000100690;        ;Nörö;mari;1000233714|1000233715|1000233716|1000233717|1000233718|1000233719|1000233720|1000233721|1000233722
1000100691;        ;Perym;komi;1000233723|1000233724|1000233725|1000233726|1000233727|1000233728|1000233729|1000233730|1000233731|1000233732|1000233733|1000233734|1000233735|1000233736|1000233737|1000233738
1000100692;        ;Lyydit;vepsian;1000233739|1000233740|1000233741|1000233742|1000233743|1000233744|1000233745|1000233746|1000233747|1000233748
1000100693;        ;Livgit;karelian;1000233749|1000233750|1000233751|1000233752|1000233753|1000233754|1000233755|1000233756|1000233757|1000233758
1000100694;        ;Bjarmit;vepsian;1000233774|1000233776|1000233778|1000233780|1000233782|1000233784|1000233786|1000233788|1000233790|1000233792|1000233793|1000233795|1000233797|1000233799
1000100695;        ;Toimit;vepsian;1000233800|1000233801|1000233802|1000233803|1000233804|1000233805|1000233806|1000233807|1000233808|1000233809|1000233810|1000233811|1000233812|1000233813
1000100696;        ;Vadadit;ugricbaltic;1000233825|1000233826|1000233827|1000233828|1000233829|1000233830|1000233831|1000233832|1000233833|1000233834
1000100697;        ;Kylfingit;lappish;1000233835|1000233836|1000233837|1000233838|1000233839|1000233840|1000233841|1000233842|1000233843|1000233844|1000233845|1000233846|1000233847
1000100698;        ;Kveanat;lappish;170329|170330|170331|170332|170141|170142|170143|170144|170145|143126|143127|228001|20618
#26_norse dynastiesSWMH.txt;;;;
1000053380;        ;Velanding;norse;1000144490
1000053381;        ;Wendel;norse;1000144473
1000053382;        ;av Alabu;norse;
1000053383;        ;av Heiðabýr;norse;1000144471
1000053384;        ;Fyun;norse;1000144476
1000053385;        ;Eiríking;norse;1000144470
1000053386;        ;av Ripæ;norse;
1000053387;        ;Hamonding;norse;1000144479
1000053388;        ;Palnatoking;norse;
1000053389;        ;Oskiteling;norse;1000144478
1000053390;        ;Sillende;norse;1000144491
1000053391;        ;Toking;norse;1000144492|1000144494|1000144495|1000144496|1000144498
1000053392;        ;Gyldir;norse;1000228000|1000228001|1000228002
1000053393;        ;Grýting;norse;1000228003
1000053394;        ;Klove;norse;1000228004|1000228005|1000228006|1000228007|1000228008
1000053395;        ;Rauming;norse;1000228009|1000228010
1000053396;        ;Aring;norse;1000228020
1000053397;        ;Húndólfing;norse;1000228021|1000228022|1000228023|1000228024|1000228025|1000228026|1000228027
1000053398;        ;Finn;norse;1000228028|1000228029
1000053399;        ;Þorviding;norse;1000228013|1000228014
1000100900;        ;Gullskegg;norse;1000228011|1000228012
1000100901;        ;Firðir;norse;1000228015
1000100902;        ;Kveldúlfr;norse;1000228033|1000228034|1000228035|1000228036
1000100903;        ;Berðla;norse;1000228046|1000228037|1000228038|1000228039|1000228040|1000228041|1000228042|1000228044|1000228045
1000100904;        ;Hálfgífr;norse;1000228030|1000228031|1000228032
1000100905;        ;Loðbróking;norse;163109
1000100906;        ;Glumrir;norse;161301|161302|161303
1000100907;        ;Hornbriotr;norse;1000228047
1000100908;        ;av Ivist;norse;1000144472
1000100909;        ;av Rõmey;norse;1000144474
1000100910;        ;Finnveden;norse;1000144475
1000100911;        ;Wether;norse;1000228051
1000100912;        ;Austmaður;norse;166332|166040|166331|166041|166330|166042|166043
1000100913;        ;Sigurðing;norse;101500|101502|101505|101506|101507|101508|101549|163110
#27_saxon dynastiesSWMH.txt;;;;
1000100000;        ;Puttoc;saxon;1000226014
1000100001;        ;of Fifhide;saxon;1000226300
1000100002;        ;of Wallingford;saxon;1000226301|1000226302|1000226303
1000100003;        ;Wulfingas;saxon;1000226306|1000226308|1000226309|1000226383|1000226310|1000226311
1000100004;        ;of Cent;saxon;1000226307|1000226328|1000226329|1000226330
1000100005;        ;Hwicce;saxon;1000226312|1000226313|1000226315
1000100006;        ;Deerhurst;saxon;1000226321
1000100007;        ;Oddingas;saxon;1000226317|1000226318|1000226319|1000226320|1000226374
1000100008;        ;Sæbbingas;saxon;1000226323|1000226324|1000226325
1000100009;        ;Sumorsæte;saxon;
1000100010;        ;Giani;saxon;1000226335|1000226336
1000100011;        ;Mucel;saxon;1000226337|1000226338|1000226340|1000226341
1000100012;        ;Wuffingas;saxon;
1000100013;        ;Æthelfrithingas;saxon;1000226346|1000226347|1000226348|1000226349|1000226350|1000226351|1000226352|1000226353|1000226354|1000226355|1000226368|1000226216|1000226369|1000226370|1000226371|1000226372|1000226373
1000100014;        ;Ealhhelmingas;saxon;1000226356|1000226357|1000226358|1000226359|1000226361|1000226362
1000100015;        ;Cild;saxon;1000226360
1000100016;        ;Rota;saxon;1000226363
1000100017;        ;Ælfgaringas;saxon;1000226375|1000226377
1000100018;        ;Byrhtnoþingas;saxon;1000226367|1000226378
1000100019;        ;Éastengle;saxon;
1000100020;        ;Snillingr;norse;1000226380
1000100021;        ;Clapa;saxon;1000144477
1000100022;        ;Pybbingas;saxon;1000226390|1000226391|1000226392|1000226393|1000226394|1000226399|1000226332
1000100023;        ;Iclingas;saxon;
1000100024;        ;Tomsæte;saxon;1000226388
1000100025;        ;Magonsæte;saxon;1000226389
1000100026;        ;Beornrædingas;saxon;163102|1000226326|1000226327|1000226395|1000226396|1000226384|1000226385|1000226386
1000100027;        ;Wiglafingas;saxon;1000226398|1000226200|1000226201
1000100028;        ;Æthleredingas;saxon;1000226333|1000226364
1000100029;        ;Wulfruningas;saxon;1000226206|1000226208|1000226209|1000226210|1000226211
1000100030;        ;Earngrimingas;saxon;1000226212|1000226213|1000226214
1000100031;        ;Æthelmodingas;saxon;1000226221
1000100032;        ;Ceolmundingas;saxon;1000226220
1000100033;        ;Eanwulfingas;saxon;1000226219
1000100034;        ;Æthelnothingas;saxon;1000226331
1000100035;        ;Sigeberhtingas;saxon;1000226322
1000100036;        ;of Damerham;saxon;1000226376
1000100037;        ;Osricingas;saxon;1000226218
1000100038;        ;of Topcliffe;saxon;1000226217
1000100039;        ;of Cotingeham;saxon;1000226222|1000226223
#28_norman dynastiesSWMH.txt;;;;
1000100060;        ;de Bayeux;norman;1000226018|1000226020
1000100061;        ;de Pont L'Évêque;norman;1000226026
1000100062;        ;d'Oilly;norman;1000227350|1000227351|1000227352|1000227353|1000227354|1000227355|1000227356|1000227357
1000100063;        ;de Percy;norman;1000227366|1000227367|1000227368|1000227369|1000227370|1000227401|1000227402|1000227403|1000227404|1000227405|1000227406|1000227407|1000227408|1000227409|1000227410
1000100064;        ;FitzCount;norman;1000227360
1000100065;        ;d'Cherbourg;norman;1000227371
1000100066;        ;d'Condé-sur-Noireau;norman;1000227382
#29_english dynastiesSWMH.txt;;;;
1000100150;        ;FitzHerbert;english;1000226023
1000100151;        ;Murdac;english;1000226025
1000100152;        ;Langton;english;161335|1000226027
1000100153;        ;de Gray;english;1000226028
1000100154;        ;de Bovil;english;1000226029
1000100155;        ;de Wickwane;english;1000226032
1000100156;        ;Le Romeyn;english;1000226033
1000100157;        ;of Newark;english;1000226034
1000100158;        ;of Corbridge;english;1000226035
1000100159;        ;de Melton;english;1000226037
#30_russian dynastiesSWMH.txt;;;;
1000100450;        ;Ikorostensky;russian;1000226950|1000226951|1000226952
1000100451;        ;Peresechensky;russian;1000226958|1000226959|1000226960
1000100452;        ;Halychsky;russian;1000226953|1000226954|1000226955|1000226956|1000226957
1000100453;        ;Volynskiy;russian;1000226961|1000226962|1000226963
1000100454;        ;Terebovlsky;russian;
#31_occitan dynastiesSWMH.txt;;;;
#32_ breton dynastiesSWMH.txt;;;;
#33_baltic group dynastiesSWMH.txt;;;;
1000100750;        ;of Selija;lettigallish;1000227700|1000227701|1000227702|1000227703|1000227704|1000227705|1000227706|1000227707|1000227708|1000227709|1000227710|1000227711|1000227744
1000100751;        ;of Tãlava;lettigallish;1000227712|1000227713|1000227714|1000227715|1000227716|1000227717|1000227718|1000227719|1000227720|1000227721|1000227722|1000227723|1000227724|1000227725|1000227726
1000100752;        ;of Deltuva;lithuanian;1000227727|1000227728|1000227729|1000227730|1000227731|1000227732|1000227733|1000227734|1000227735|1000227736|1000227737|1000227738|1000227739|1000227740
1000100753;        ;of Koknese;lettigallish;1000227741
1000100754;        ;of Jeriska;lettigallish;1000227743
1000100755;        ;Von Solre;german;1000227748
1000100756;        ;Tervete;lettigallish;1000227745|1000227746|1000227747
1000100757;        ;Von Solre;german;1000227749
1000100758;        ;d’Aulne;frankish;1000227751
1000100759;        ;von Werth;german;1000227752
#34_moravian dynastiesSWMH.txt;;;;
1000100850;        ;ze Zabrušan;bohemian;1000228100|1000228101|1000228102
1000100861;        ;z Kunštátu;moravian;
1000100862;        ;z Kunštátu;moravian;
1000100863;        ;Drnovský;moravian;
1000100864;        ;z Linavy;moravian;
1000100865;        ;z Boskovic;moravian;
1000100866;        ;Horecký z Horky;moravian;
1000100867;        ;z Lomnice;moravian;
1000100868;        ;z Víckova;moravian;
1000103880;        ;Prochaska;moravian;
1000103881;        ;z Pernštejna;moravian;
1000103882;        ;z Studnic;moravian;
#35_bavarian dynastiesSWMH.txt;;;;
1000101001;        ;von Wels-Lambach;bavarian;1000228401|1000228402
1000101002;        ;von Formbach-Neuburg;bavarian;1000228403|1000228404|1000228405|1000228406|1000228407|1000228408|1000228409|1000228410
1000101003;        ;von Bogen;bavarian;
1000101004;        ;von Vohburg;bavarian;
1000101005;        ;von Falkenstein;bavarian;
1000101006;        ;von Hals;bavarian;
1000101007;        ;von Kamm;bavarian;
1000101008;        ;von Kuenring;bavarian;
1000101009;        ;von Peilstein;bavarian;
1000101010;        ;von Ortenberg;bavarian;
1000101011;        ;von Burghausen-Schala;bavarian;
1000101012;        ;von Sempt-Ebersberg;bavarian;
1000101013;        ;von Moosburg;bavarian;
1000101014;        ;von Ortenburg;bavarian;
1000101015;        ;von Heunburg;bavarian;
1000101016;        ;von Hirschberg;bavarian;
1000101017;        ;von Lurn;bavarian;
1000101018;        ;von Lienz;bavarian;
1000103219;        ;von Sanneck;bavarian;
1000101020;        ;von Plain;bavarian;
1000101021;        ;von Eppan;bavarian;
1000101022;        ;von Raabs;bavarian;
1000101023;        ;von Altendorf;bavarian;
1000101024;        ;von Fraunberg;bavarian;
1000101025;        ;von Wolfratshausen;bavarian;
1000101026;        ;von Graisbach;bavarian;
1000101027;        ;Askuiner;bavarian;
1000101028;        ;von Preysing;bavarian;
1000101029;        ;von Schaunberg;bavarian;
1000101030;        ;von Sternberg;bavarian;
1000101031;        ;von Stubenberg;bavarian;
1000101032;        ;von Pettau;bavarian;
1000101033;        ;von Abensberg;bavarian;
1000101034;        ;von Lechsgemünd;bavarian;
1000101035;        ;von der Sann;bavarian;
1000101036;        ;von Treffen;bavarian;
1000101037;        ;von Frontenhausen;bavarian;
1000101038;        ;von Eschenlohe;bavarian;
1000101039;        ;von Steffling;bavarian;
1000101040;        ;Tanner;bavarian;
1000101041;        ;von Graben;bavarian;
1000101042;        ;von Zeltschach;bavarian;
1000101043;        ;von Schwarzenburg;bavarian;
1000101044;        ;von Wildon;bavarian;
1000101045;        ;von Perg;bavarian;
1000101046;        ;von Liechtenstein;bavarian;
1000101047;        ;von Starhemberg;bavarian;
1000101048;        ;von Polheim;bavarian;
1000101049;        ;von Traun;bavarian;
1000101050;        ;von Losenstein;bavarian;
1000101051;        ;von Schiltberg;bavarian;
1000101052;        ;von Zelking;bavarian;
1000101053;        ;von Zinzendorf;bavarian;
1000101054;        ;von Andechs;bavarian;
1000101055;        ;von Babenberg;bavarian;
1000101056;        ;von Eppenstein;bavarian;
1000101057;        ;von Wittelsbach;bavarian;
1000101058;        ;Meinhardiner;bavarian;
1000101059;        ;Babonen;bavarian;
1000101060;        ;Otakare;bavarian;
1000101061;        ;Pilgrimiden;bavarian;
1000101062;        ;Agilofinger;bavarian;
1000101063;        ;Aribonen;bavarian;
1000101064;        ;Luitpoldinger;bavarian;
1000101065;        ;Sieghardinger;bavarian;
1000101066;        ;Traungauer;bavarian;
1000101067;        ;Anniona;bavarian;
1000101068;        ;Fagana;bavarian;
1000101069;        ;Hahilinga;bavarian;
1000101070;        ;Huosi;bavarian;
1000101071;        ;Trozza;bavarian;
#36_norsegaelic dynastiesSWMH.txt;;;;
1000101300;        ;Cuarán;norsegaelic;
1000101301;        ;Írakonungr;norsegaelic;
1000101302;        ;Eóganachta;norsegaelic;
1000101303;        ;Somhairle;norsegaelic;
1000101304;        ;Mac Domhnaill;norsegaelic;
1000101305;        ;Find;norsegaelic;
1000101306;        ;Bjola;norsegaelic;
1000101307;        ;Mac Shitrig;norsegaelic;
1000101308;        ;Mac Leòid;norsegaelic;
1000101309;        ;Mac Oitir;norsegaelic;
1000101310;        ;Mac Asgaill;norsegaelic;
1000101311;        ;Mac Arailt;norsegaelic;
1000101312;        ;Mac Fergusa;norsegaelic;
1000101313;        ;Mór;norsegaelic;
#50_familles d'OC NROC.txt;;;;
1000036000;        ;d'Alzonne;occitan;1000093000|1000093001|1000093002|1000093012|1000093022
1000036001;        ;de Besièrs;occitan;1000093003|1000093004|1000093005|1000093006|1000093007|1000093008|1000093009|1000093010
1000036002;        ;de Carcassonna;occitan;
1000036006;        ;di Cinarca;corsican;1000093019|1000093023|1000093024|1000093025|1000093026|1000093028
1000036007;        ;da Mare;italian;1000093027
#51_familles de France NROC.txt;;;;
1000036000;        ;de Alzonne;occitan;1000093000|1000093001|1000093002|1000093012|1000093022
1000036001;        ;de Besièrs;occitan;1000093003|1000093004|1000093005|1000093006|1000093007|1000093008|1000093009|1000093010
1000036002;        ;de Carcassonna;occitan;
1000036003;        ;de Beauvais;frankish;1000093011
#52_lithuanian dynastiesSWMH.txt;;;;
1000053401;        ;Palemonas;lithuanian;
1000053405;        ;Kentauras;lithuanian;
1000053406;        ;Mingailaitis;lithuanian;
1000053407;        ;Leliušas;lithuanian;
1000053408;        ;Daugirdas;lithuanian;
1000053409;        ;Butrimas;lithuanian;
1000053488;        ;Sapiega;lithuanian;
1000053489;        ;Oginskis;lithuanian;
1000053410;        ;Abromavicius;lithuanian;
1000053411;        ;Iljinicius;lithuanian;
1000053412;        ;Valavicius;lithuanian;
1000053413;        ;Gosievskis;lithuanian;
1000053414;        ;Olielkaitis;lithuanian;
1000053415;        ;Bilevicius;lithuanian;
1000053416;        ;Masalskis;lithuanian;
1000053417;        ;Chreptavicius;lithuanian;
1000053418;        ;Chaleckis;lithuanian;
1000053419;        ;Kiška;lithuanian;
1000053420;        ;Korsakas;lithuanian;
1000053421;        ;Gelgaudas;lithuanian;
1000053422;        ;Zbarackis;lithuanian;
1000053423;        ;Nemiraitis;lithuanian;
1000053424;        ;Putiaticius;lithuanian;
1000053425;        ;Glinskis;lithuanian;
1000053426;        ;Nemirovicius;lithuanian;
1000053427;        ;Zaviša;lithuanian;
1000053428;        ;Kmita;lithuanian;
1000053490;        ;Bareikis;lithuanian;
1000053429;        ;Siesickis;lithuanian;
1000053430;        ;Tyzenhauzas;lithuanian;
1000053431;        ;Stravinskis;lithuanian;
1000053432;        ;Sluška;lithuanian;
1000053433;        ;Bialozoras;lithuanian;
1000053434;        ;Klocka;lithuanian;
1000053435;        ;Palubinskis;lithuanian;
1000053436;        ;Galminas;lithuanian;
1000053437;        ;Mindaugas;lithuanian;
1000053438;        ;Pociejus;lithuanian;
1000053439;        ;Zenovicius;lithuanian;
1000053440;        ;Žaba;lithuanian;
1000053441;        ;Hilzenas;lithuanian;
1000053442;        ;Buržinskis;lithuanian;
1000053443;        ;Davaina;lithuanian;
1000053444;        ;Chmara;lithuanian;
1000053445;        ;Jablonovskis;lithuanian;
1000053446;        ;Niesiolovskis;lithuanian;
1000053447;        ;Kopecis;lithuanian;
1000053448;        ;Denhofas;lithuanian;
1000053449;        ;Potockis;lithuanian;
1000053450;        ;Sasnauskis;lithuanian;
1000053451;        ;Kiršenšteinas;lithuanian;
1000053452;        ;Karpis;lithuanian;
1000053453;        ;Dimša;lithuanian;
1000053454;        ;Stulpinas;lithuanian;
1000053455;        ;Babenskas;lithuanian;
1000053456;        ;Liubenskas;lithuanian;
1000053457;        ;Nagurskis;lithuanian;
1000053458;        ;Butkevicius;lithuanian;
1000053459;        ;Darbutas;lithuanian;
1000053460;        ;Eitiminavicius;lithuanian;
1000053461;        ;Mackevicius;lithuanian;
1000053462;        ;Jocas;lithuanian;
1000053463;        ;Batavicius;lithuanian;
1000053464;        ;Žutautas;lithuanian;
1000053465;        ;Gedvilas;lithuanian;
1000053466;        ;Vaišvila;lithuanian;
1000053467;        ;Kazlauskas;lithuanian;
1000053468;        ;Koreivas;lithuanian;
1000053469;        ;Daunoravicius;lithuanian;
1000053470;        ;Bulatas;lithuanian;
1000053471;        ;Beizimas;lithuanian;
1000053472;        ;Ditka;lithuanian;
1000053473;        ;Bruška;lithuanian;
1000053474;        ;Daugirdaitis;lithuanian;
1000053475;        ;Baranauskas;lithuanian;
1000053476;        ;Jakimavicius;lithuanian;
1000053477;        ;Rusteikis;lithuanian;
1000053478;        ;Hludzinskis;lithuanian;
1000053479;        ;Ginvilas;lithuanian;
1000053480;        ;Druckis;lithuanian;
1000053481;        ;Vambutaitis;lithuanian;
1000053482;        ;Vambuts;lithuanian;
1000053483;        ;Rozmiras;lithuanian;
1000053484;        ;Ustarbauskis;lithuanian;
1000053485;        ;Žabauskas;lithuanian;
1000053486;        ;Naurutavicius;lithuanian;
1000053487;        ;Pociejunas;lithuanian;
#54_bohemian-moravian dynastiesSWMH.txt;;;;
1000100850;        ;ze Zabrušan;bohemian;1000228100|1000228101|1000228102
1000100861;        ;z Kunštátu;moravian;
1000100862;        ;z Kunštátu;moravian;
1000100863;        ;Drnovský;moravian;
1000100864;        ;z Linavy;moravian;
1000100865;        ;z Boskovic;moravian;
1000100866;        ;Horecký z Horky;moravian;
1000100867;        ;z Lomnice;moravian;
1000100868;        ;z Víckova;moravian;
1000103850;        ;z Vartemberka;bohemian;
1000103851;        ;z Hradce;bohemian;
1000103852;        ;z Kounic;bohemian;
1000103853;        ;z Rožmberka;bohemian;
1000103854;        ;z Šternberka;bohemian;
1000103855;        ;z Harrachu;bohemian;
1000103856;        ;z Biberštejna;bohemian;
#55_african dynastiesSWMH.txt;;;;
1000053560;        ;Niakhate;soninke;1000144500|1000144501|1000144502|1000144503|1000144504
1000053561;        ;Tunkara;soninke;1000144510|1000144511|1000144520
1000053562;        ;Diawara;soninke;
1000053563;        ;Kiffa;soninke;1000144508|1000144509
1000100885;        ;Soninke;soninke;1000228260
1000053570;        ;Konaté;manden;1000144620|1000144621|1000144622|1000144623|1000144624|1000144625|1000144626
1000053571;        ;Touré;manden;
1000053572;        ;Koné;manden;1000144640
1000053573;        ;Kamara;manden;1000144650
1000053574;        ;Diakhanke;manden;
1000053580;        ;Torodbe;wolof;1000144530|1000144531|1000144532
1000053581;        ;Walo;wolof;1000144540
1000053582;        ;Silla;wolof;1000144545|1000144546
1000053583;        ;Joof;wolof;
1000053584;        ;Njie;wolof;
1000053585;        ;Faal;wolof;
1000101100;        ;Sayfawa;kanuri;1000228559|1000228560|1000228561|1000228562|1000228563|1000228564|1000228565|1000228566|1000228567|1000228568|1000228569|1000228570|1000228571|1000228572|1000228573|1000228574|1000228575|1000228576|1000228577|1000228578|1000228579|1000228580
1000101101;        ;Duguwa;kanuri;1000228550|1000228551|1000228552|1000228553|1000228554|1000228555|1000228556|1000228557|1000228558
1000101102;        ;Kay;kanuri;1000228581|1000228582|1000228583|1000228584|1000228585
1000101103;        ;Teda;kanuri;
1000101104;        ;Dabír;kanuri;
1000101105;        ;Kunkuna;kanuri;
1000101130;        ;Zaghawa;zaghawa;1000228600|1000228601|1000228602|1000228603|1000228604|1000228605|1000228606
1000101131;        ;Duguwa;kanuri;
1000101132;        ;Tomaghra;zaghawa;
1000101133;        ;Tubu;zaghawa;1000228607|1000228608|1000228609
1000101150;        ;Durbawa;hausa;1000228650|1000228651|1000228652|1000228653|1000228673|1000228674
1000101151;        ;Daura;hausa;1000228654|1000228656|1000228657|1000228658|1000228675|1000228676
1000101152;        ;Habe;hausa;1000228659|1000228660|1000228661|1000228662|1000228663|1000228664|1000228665|1000228666|1000228667|1000228668|1000228669|1000228670|1000228671|1000228672
1000101153;        ;Gobiri;hausa;1000228677|1000228678
1000101154;        ;Gabas;hausa;1000228679
1000101155;        ;Maranda;hausa;1000228682|1000228683|1000228684|1000228685|1000228686|1000228687|1000228688|1000228689|1000228690
#56_east_african dynastiesSWMH.txt;;;;
1000101230;        ;Kanunid;beja;1000228760|1000228761|1000228767
1000101231;        ;Hadarat;beja;1000228762|1000228763|1000228764|1000228765
1000101232;        ;Hijab;beja;
1000101233;        ;Ama'ir;beja;
1000101234;        ;Kawbar;beja;1000228778|1000228779|1000228780|1000228781|1000228782
1000101235;        ;Manasa;beja;1000228783|1000228784|1000228785|1000228786|1000228787|1000228788
1000101236;        ;Arbab'a;beja;1000228789|1000228790|1000228791
1000101237;        ;Zanafig;beja;1000228792
1000101238;        ;Balliyin;beja;
1000101239;        ;Hadariba;beja;1000228766|1000228768|1000228769|1000228770|1000228771|1000228772|1000228773|1000228774|1000228775|1000228776|1000228777
1000101240;        ;Amarar;beja;1000228793
1000101241;        ;Suakini;beja;1000228794|1000228795|1000228796|1000228797|1000228798|1000228799|1000231650|1000231651|1000231652
1000101331;        ;Bnei Gedawon;falashim;1000228900|1000228901|1000228902|1000228903|1000228904|1000228905|1000228906|1000228907|1000228908|1000228909|1000228910|1000228911|1000228912|1000228913|1000228914|1000228915|1000228916|1000228917|1000228918|1000228919
