#ID     ;SED     ;VANILLA;CULTURE;CHARACTERS
#00_dynasties.txt;;;;
742     ;        ;de Sémur-en-Brionnais;frankish;94012
743     ;        ;Capet;frankish;10027|127000|200|203|205|205500|205502|205503|205504|205506|205508|205509|205511|205512|205513|205515|205518|205519|206|206006|208|210|213|214|216|455402|455404|455411|455412|455414|455416|455417|455419|455420|455421|455422|455505|455508|455509|455525|455526|455527|455528|455830|455835|455836|455913|6440|6442|6443|6444|6445|6447|6448|6449|70137|91002|91005|91006|91007|91009|91010|91011|91012|91023|91024|91025|91026|91027|91028|91029|91030|91031|91032|91033|91034|91075|91076|91077|91200|91195|161557|11009|161905|163065|168132|190401|190402|190403|190404|190409|190410|190411|91000|91001|91003|91004|194450
744     ;        ;of Bamburgh;saxon;186|188|189|190|191|192|193|82001|82002|161264|161266|161267|161268|161269|1226245
745     ;        ;of Northumbria;saxon;196|198|199|7387|7396|161451|1226251|1226253
746     ;        ;Fergant;frankish;
747     ;        ;Gerbod;german;41010
748     ;        ;de Warenne;norman;204631|204632|204633|204634|204635|204636|204641|204716|171|172|174|203515|552
749     ;        ;de Brevere;norman;160405|170
750     ;        ;Flambard;saxon;154
751     ;        ;de Montgomery;norman;149|152|41005|41007|41008|41030|41031|41032|82051|82052|82053|138054|138055|138056|138057|138062|138064|168182
752     ;        ;de Normandie;norman;204671|129063|203036|10014|205920|261|138000|32214|32215|32216|32217|32218|32219|32220|10021|140|141|142|143|144|146|147|160378|160379|160380|160403|160404|202990|202991|202992|205898|232018|243|244|246|248|250|251|252|253|255|257|258|259|260|31155|31156|31157|40279|6513|6816|6818|6819|6820|6822|31399|32211|32212|32213|161256|203561|183123|183124|183125|183126|183127|183128|183129|183130|183131|183132|183133|183134|1227440|1227441
753     ;        ;of Northampton;saxon;135
756     ;        ;of Godwin;saxon;183908|111|115|116|120|121|122|124|125|126|127|128|129|130|132|41002|41003|85013|161274|167002|167003|167004
757     ;        ;Ætheling;saxon;
758     ;        ;Bjering;swedish;
759     ;        ;Rothén;swedish;
760     ;        ;Galen;danish;451600|34163|34167|151005|151006|151008|151009|151011|1227923|1227924
761     ;        ;Läma;swedish;450850
762     ;        ;Bahri;egyptian_arabic;485002|485000|32936|32937|34984|34985|485003|485004|485005|485006|485007|485008|485009
763     ;        ;Rumby;swedish;
764     ;        ;Basarab;romanian;475550|475552|475553|475555|475556|475560
765     ;        ;Taishufin;maghreb_arabic;
766     ;        ;von Nordheim;german;112598|112600|112602|112603|112604|112605|112606|112607|30224|30225|30226|31517|30728|161250|161251
767     ;        ;de Albuquerque;portuguese;459512|459514|142126|142214|142215|142216
768     ;        ;de Bolougne;frankish;459521
769     ;        ;de Ribeira;portuguese;142210|142211|142212|142213|143086|143088
770     ;        ;de Sousa;portuguese;142009|142010|142061|142062|142165|142167|142171|142172|142173|142174|142175|142170|142176|142177|142181|142182|142319|142324|142320|142321|142322|142183|142184|142185|142186|142187|142188|142189|142190|142191|142192|142195|142196|142197|142198|142199|142200|142201|142202|142203|142204|142208|142209|142194|142205|142206|142207|142041|142053|142054|142056|142070|142071|142097|142102|142103|142104|142105|142124|142125|142435|142437|142438|142439
771     ;        ;de Noboa;basque;459533
772     ;        ;Pacheco;portuguese;
773     ;        ;de Briteiros;portuguese;459553|142087|142088|142089|142093|142094|142096|142076|142095|142101|142077|142078|142079|142080|142091|142092|142238|142223|142225|142227|142229|142230|142231|142232|142233|142236|142234|142235|142239|142240|142241|142242|142243|142244|142245|142246|143078|143080|143082
774     ;        ;de Trastámara;castillan;457510
775     ;        ;d'Antoing;frankish;457557
776     ;        ;de Lara;castillan;107570|107580|207539|207540|207541|207543|207544|207545|207546|207547|207548|207650|207652|207653|207654|207656|207657|207658|210515|210574|457558|457559|457560|457581|457680|457681|457683|458005|71427|71430|72212|72418|72419|72420|72421|72422|72423|72424|72425|72426|72427|72429|72469|72471|72472|72473|72474|72503|72504|72505|72506|72507|72509|72510|72511|72512|72513|72514|72516|72517|72518|72519|72520|72521|72522|72524|72525|72526|72527|72530|72531|72532|72533|72534|72535|72536|72537|72538|72539|72540|72541|72542|72543|72544|72545|72546|72547|72548|72549|72550|72432|72433|72434|72435|72438|72440|72441|72442|72443|72444|72446|72447|72452|72453|72454|72455|72456|72457|72458|72459|72467|207542|455620|455621|455622|200070|200072|200075|200066|200067|200069
777     ;        ;d'Espagne;frankish;
778     ;        ;de Haro;basque;107520|107523|107530|107550|457582|457610|457611|70220|70221|70222|70223|70224|70225|70226|70227|70228|70229|71411|71491|71506|71507|71508|71531|71553|71920|71921|71922|71926|71927|71931|71932|71933|71934|71935|71936|71937|71948|71950|71951|71952|71953|71954|71955|71956|71957|71958|71959|71960|71961|71962|71963|71964|71965|71966|71967|71968|71969|71970|71971|71972|71973|71974|71975|72006|72008|72009|72011|72012|72014|72016|72017|72018|72019|72020|72021|72022|72023|72027|72028|72029|72030|72031|72032|72033|72034|72035|72036|72037|72038|207560|207561|207562|207600|207563|207570|71947
779     ;        ;de València;catalan;457562|457590|457600|71510|71511
780     ;        ;de Briteirose;portuguese;
781     ;        ;de Castañeda;castillan;72481|72482|72483|72620|72621|72622|72624|72625|72626|72627|72628|72629|72630|72631|72632|72633
782     ;        ;de Molina;castillan;457666|71428|71429|71431|71432|71433|71434|71435|71436|71437|71518|71519
783     ;        ;di Castalnasetta;italian;
784     ;        ;de Gandia;catalan;
785     ;        ;de Vidaure;basque;71697|460601
786     ;        ;Álvarez de Azagra;castillan;
787     ;        ;d'Aragó;catalan;
788     ;        ;de Aragón;basque;73771|70273|70274|70275|70276|70277|70300|70301
789     ;        ;Karasi;ugricbaltic;
790     ;        ;Ghaznavid;turkish;1230134|1230207|1230208|1230209|1230213|1230217|1230219|1230220|1230221|1230222|144123|144124|144125|144126|144127|144128|144129|144130|144131|144132|144133|144134|144135|144136|144137|144138|144139
791     ;        ;Ghurid;persian;
792     ;        ;Uyunid;bedouin_arabic;144146|144147|144148|144149|144150|144151|144152|144153|144154|20900|34471|34472|34473|34474|34475|34476|34477
793     ;        ;Ammarid;maghreb_arabic;144232|144233|144234
794     ;        ;de Lacon Serra;italian;144531|144532|71631|71632|71633|71634
795     ;        ;von Egisheim;german;
796     ;        ;Fromonides;frankish;144966|144967|144968|144969|144970|144971
797     ;        ;Asperger;german;1317
798     ;        ;di Bergamo;italian;163068
799     ;        ;d'Asti;italian;167968|167969|167970|167971|167972|167973|163069
800     ;        ;Timurid;;
801     ;        ;Djäkn;swedish;
802     ;        ;Svärd;swedish;
803     ;        ;Bonifazi;italian;7914|167896|167897|167898|167899|167900|167902|167903|167904|167905|167906|167907|167908|167909|163070
804     ;        ;Radelchis;italian;145216|145217|145218|145219|145220|145221|163071
805     ;        ;Siconulf;italian;145207|145208|145209|145210
806     ;        ;Sawdanid;maghreb_arabic;163094
807     ;        ;Aghlabid;maghreb_arabic;163096|163140|163141|163142|163143|163144|163145|163146|163147
808     ;        ;Rustamid;maghreb_arabic;163097|163148|163149|163150|210028|210029|210030
809     ;        ;Dulafid;bedouin_arabic;163098|163151|163152|188697|188698|188699
810     ;        ;Samanid;persian;188637|188638|188639
811     ;        ;Tahirid;persian;188686|188687|188688|188689
812     ;        ;Saffarid;persian;
813     ;        ;of Mercia;saxon;205097|205098|205099|205100|1226397|1226339
814     ;        ;of Northumbria;saxon;163103|6861|6875|205252|205253
815     ;        ;Bagge;swedish;
816     ;        ;Alt Clut;welsh;163104|166441|166442|166444|166445|166446|166447|166448|166449|166450|166451|166452|166453|166454|166455|166456|166457|166458|166459|166460|166461|166462|166463|166464|166465|166466
817     ;        ;of Brittany;breton;
818     ;        ;Jute;danish;6862|6865|6866|6867|163113|1226365|1226366
819     ;        ;Dál Fiatach;irish;6180|6181|6182|6183|6184|6185|6186|6187|6188|6189|6190|6191|6193|6194|6195|6196|6197|6198|6199|6200|6201|6202|6203|6204|6205|6206|163114|160176|160177|160178|160179|160180|160181|160182|160183|160184|160185|160186|160282|160187|160188|160189|160190|160191|160192|160193|160194|160195|160196|160197|160198|160199|160200|160201|160202|160203|160204|160205|160206|160207|160208|160209|160210|160211|160212|1226434|1226438|1226439|1226440
820     ;        ;Tulunid;egyptian_arabic;163115|163173|163138|163139
821     ;        ;Ulfing;norse;41257|194005|194051|194052
822     ;        ;Gautske;norse;41258|194010|194049|194050|194053
823     ;        ;Väse;norse;41259
824     ;        ;Njudunge;norse;41266
825     ;        ;Gute;norse;41267|194007|194046|194047|194048
826     ;        ;Stórr;norse;
827     ;        ;Värending;swedish;20020|1234007
828     ;        ;Holming;norse;6827
829     ;        ;Ingrija;ugricbaltic;
830     ;        ;Borg;norse;6837
831     ;        ;Nerking;norse;6838
832     ;        ;Auster;norse;6840
833     ;        ;Hammer;norse;6841
834     ;        ;Bleik;norse;6842
835     ;        ;Falk;norse;6843
836     ;        ;Hede;norse;6844|194014
837     ;        ;Ubmeje;lappish;186001
838     ;        ;Kauping;norse;6845
839     ;        ;Styr;norse;6846
840     ;        ;Suensaari;finnish;
841     ;        ;Berkanid;maghreb_arabic;6882
842     ;        ;Mezwarid;maghreb_arabic;6883
843     ;        ;Firhunid;maghreb_arabic;6884
844     ;        ;Agdunid;maghreb_arabic;6885
845     ;        ;Tegamid;maghreb_arabic;6886
846     ;        ;Islid;maghreb_arabic;6887
847     ;        ;Yabdasid;maghreb_arabic;6888
848     ;        ;d'Arc;frankish;
849     ;        ;Gladius Christi;;
850     ;        ;Blackadder;scottish;
851     ;        ;Turgay;cuman;
852     ;        ;Kimak;cuman;
853     ;        ;Zhetysu;karluk;
854     ;        ;Kirghiz;kirghiz;34873|194192|194193|194194|194195|194196|194197|194198|194199|194200|194201|194202|194203|194204|194220|194412|194221|194222|194422|194423|217165
855     ;        ;Bamid;persian;6896
856     ;        ;Sirjani;persian;6897
857     ;        ;Furgid;persian;6898
858     ;        ;Yeldarid;baloch;
859     ;        ;Feruxid;baloch;
860     ;        ;Anward;swedish;157218
861     ;        ;Palmqvist;swedish;157219
862     ;        ;Vogelius;danish;157220
863     ;        ;Ivannikov;russian;157221
864     ;        ;Bodlund;swedish;157222
865     ;        ;Lasan;italian;157224
866     ;        ;Lugmaïr;swedish;157225
867     ;        ;Tammpere;finnish;157226
868     ;        ;Harnesk;swedish;157227
869     ;        ;Bermann;swedish;157228
870     ;        ;Tisander;german;157230
871     ;        ;Sparrhult;swedish;157231
872     ;        ;Sålder;norse;157233
873     ;        ;Oltner;swedish;194343
874     ;        ;Larzone;italian;194344
875     ;        ;Skager;swedish;194335
876     ;        ;Sjöberg;swedish;194336
877     ;        ;Koter;polish;194337
878     ;        ;Jenelius;irish;194338
879     ;        ;von Eikenschild;german;194339
880     ;        ;von Carenwall;german;194340
881     ;        ;Woewodskij;polish;194341
882     ;        ;Brock;danish;194342
883     ;        ;Nieminen;finnish;217397
1002    ;        ;Banner;danish;
1003    ;        ;Bese;swedish;
1004    ;        ;Boberg;swedish;
1005    ;        ;Bragde;swedish;1227900|1227901|1227902
1007    ;        ;Bure;swedish;
1008    ;        ;Eka;swedish;
1009    ;        ;Fargalt;swedish;
1010    ;        ;af Fånö;swedish;
1011    ;        ;Forsa;swedish;
1012    ;        ;Get;swedish;
1013    ;        ;Gedda;swedish;
1014    ;        ;af Hafrid;swedish;
1015    ;        ;Hatt;swedish;
1016    ;        ;af Hålbonäs;swedish;
1017    ;        ;Hästhuvud;swedish;
1018    ;        ;Knoppe;swedish;
1019    ;        ;Kraam;swedish;
1020    ;        ;Lake;swedish;
1021    ;        ;Lejonansikte;swedish;
1022    ;        ;Lejonbalk;swedish;
1023    ;        ;Marsvin;swedish;
1024    ;        ;Oxhufvud;swedish;
1025    ;        ;Oxpanna;swedish;
1026    ;        ;Pik;swedish;
1029    ;        ;Skytte;swedish;167715|167716
1030    ;        ;Stake;swedish;167718|167719
1031    ;        ;Stenbock;swedish;167721|167722
1032    ;        ;Sture;swedish;167724
1033    ;        ;Svan;swedish;
1034    ;        ;Svinhufvud;swedish;
1035    ;        ;Thott;danish;
1036    ;        ;Tott;swedish;
1037    ;        ;Tre Rosor;swedish;194264|194265|194266|194267|194268
1038    ;        ;Tre Rutor;swedish;
1040    ;        ;Trolle;swedish;194269|194270|194271|194272|194273
1042    ;        ;Vasa;swedish;
1043    ;        ;Vinstorpa;swedish;
1044    ;        ;Virske;swedish;
1045    ;        ;Vingad Pil;swedish;
1046    ;        ;Vingad Lilja;swedish;
1047    ;        ;Hästesko;swedish;
1048    ;        ;Örnsparre;swedish;
1049    ;        ;Snedbielke;swedish;
1050    ;        ;Läma;swedish;
1052    ;        ;Fluga;swedish;
1053    ;        ;Konradiner;german;11003|11064|11065|1384|1385|1525|1619|7665|7666|7667|7668|7944|7946|7947|7948|7950|7951|7952|7953|7961|7962|7963|7966|7967|7968|40191|163051|161545|161546|167824
1054    ;        ;Hunfriding;german;7955|7956|7957|7958|33610|161551|161742|161743|161744|161745|161746|163058|190359
1055    ;        ;Karmanjaka;swedish;126002
1056    ;        ;Ukhaidhirid;bedouin_arabic;74041|160016|160017|160018|160019|160020
1057    ;        ;Guldtupp;swedish;
1058    ;        ;Ulfsax;swedish;
1059    ;        ;Hæsteining;norse;6878|6880
1060    ;        ;Marinian;italian;168415
1144    ;        ;Tre Sjöblad;swedish;
1150    ;        ;Fysche;saxon;
1151    ;        ;Myall;english;
1152    ;        ;Shannon;irish;
1153    ;        ;Stjerne;swedish;
1154    ;        ;Schmollinger;german;
1155    ;        ;Witte;german;30472
1156    ;        ;Wullenpund;german;
1158    ;        ;von Hagen;german;30473
1159    ;        ;Kráka;norse;
1160    ;        ;Mikli;norse;
1161    ;        ;Steneke;german;30477
1162    ;        ;Hildemar;german;
1163    ;        ;von Mölln;german;
1164    ;        ;Runese;german;
1165    ;        ;Smiðr;norse;
1166    ;        ;Pleskow;german;30479
1167    ;        ;Möring;norse;
1168    ;        ;Gárdske;norse;
1169    ;        ;Trolli;norse;
1170    ;        ;Kven;norse;
1171    ;        ;Toki;norse;
1172    ;        ;Hárde;norse;
1173    ;        ;Eyjing;norse;
1174    ;        ;Orming;norse;
1175    ;        ;Hrafn;norse;194023
1176    ;        ;Goði;norse;
1177    ;        ;Austmaðr;norse;
1178    ;        ;Hávi;norse;
1179    ;        ;Rakki;norse;
1180    ;        ;Refr;norse;194020
1181    ;        ;Skrauti;norse;
1182    ;        ;Snarfari;norse;
1183    ;        ;Stafr;norse;194022
1184    ;        ;Strangi;norse;
1185    ;        ;Snjalli;norse;
1186    ;        ;Súrr;norse;
1187    ;        ;Skáld;norse;
1188    ;        ;Viss;norse;
1189    ;        ;Þrymr;norse;
1190    ;        ;Þvari;norse;
1191    ;        ;Ölfúss;norse;
1192    ;        ;Örn;norse;1226428
1193    ;        ;Hvíti;norse;1228076
1194    ;        ;Sterki;norse;
1195    ;        ;Auðgi;norse;
1196    ;        ;Rauði;norse;
1197    ;        ;Spaki;norse;
1198    ;        ;Svarti;norse;
1199    ;        ;Rammi;norse;
1200    ;        ;Lalli;finnish;
1201    ;        ;Hannus;finnish;
1202    ;        ;Jaakkola;finnish;
1203    ;        ;Ilkka;finnish;
1204    ;        ;Isotalo;finnish;
1205    ;        ;Lauri;finnish;
1206    ;        ;Tuure;finnish;
1207    ;        ;Maunu;finnish;
1208    ;        ;Akseli;finnish;
1209    ;        ;Mjóvi;norse;
1210    ;        ;Ríki;norse;
1211    ;        ;Lambi;norse;
1212    ;        ;Skarfr;norse;
1213    ;        ;Skál;norse;
1214    ;        ;Sleggja;norse;
1215    ;        ;Smjör;norse;
1216    ;        ;Stjarna;norse;
1217    ;        ;Strúgr;norse;
1218    ;        ;Sælendingr;norse;
1219    ;        ;Súrr;norse;
1220    ;        ;Sælingr;norse;
1221    ;        ;Trausti;norse;
1222    ;        ;Veðr;norse;
1223    ;        ;Vámúli;norse;
1224    ;        ;Væni;norse;
1225    ;        ;Þistill;norse;
1226    ;        ;Þjófi;norse;
1227    ;        ;Þynning;norse;
1687    ;        ;Dunkeld;scottish;982|986|988|992|7388|202968|202998|202999|203000|203015|203510|203511|203512|203520|203548|230521|232678|30912|6900|6902|6903|7379|7459|984|960|962|964|202995|167014|167015|167016|167017|167018
2000    ;        ;Lahtinen;finnish;
2001    ;        ;Benkestokk;norwegian;
2002    ;        ;Handingmann;norwegian;
2003    ;        ;Aspa;norwegian;
2004    ;        ;Aurland;norwegian;
2005    ;        ;Bjarkøy;norwegian;
2006    ;        ;Andenes;norwegian;
2007    ;        ;Blakar;norwegian;
2008    ;        ;Blindheim;norwegian;
2009    ;        ;Botner;danish;
2010    ;        ;Bratt;swedish;
2011    ;        ;Darre;danish;
2012    ;        ;Egge;danish;
2013    ;        ;Dall;saxon;
2014    ;        ;Slee;saxon;
2015    ;        ;Asdal;norwegian;
2016    ;        ;Hudfat;norwegian;
2017    ;        ;Hård;norwegian;
2018    ;        ;Kane;norwegian;
2019    ;        ;Kiil;saxon;
2020    ;        ;Kusse;danish;
2021    ;        ;Losna;norwegian;
2022    ;        ;Mel;saxon;
2023    ;        ;Munk;swedish;
2024    ;        ;Ringnes;norwegian;
2025    ;        ;Semeleng;norwegian;
2026    ;        ;Spånheim;norwegian;
2027    ;        ;Gjesling;norwegian;
2028    ;        ;Sudrheim;norwegian;
2029    ;        ;Talgje;norwegian;
2030    ;        ;Teiste;norwegian;
2031    ;        ;Østby;norwegian;
2032    ;        ;Østråt;norwegian;
2033    ;        ;Rein;norwegian;202030|202032|202034|202035|202040|202043|161127|161128|161124|183909
2034    ;        ;Giske;norwegian;
2035    ;        ;Kamp;norwegian;
2036    ;        ;Nordhagen;norwegian;
2037    ;        ;Holter;saxon;
2038    ;        ;Bjelke;swedish;
2039    ;        ;Bolt;norwegian;
2040    ;        ;Galle;norwegian;
2041    ;        ;Galtung;norwegian;
2042    ;        ;Hjerne;norwegian;
2043    ;        ;Kamp;norwegian;
2044    ;        ;Rømer;norwegian;
2045    ;        ;Skanke;norwegian;
2046    ;        ;Smør;norwegian;
2047    ;        ;Staur;norwegian;
2050    ;        ;Skjegge;norwegian;
3092    ;        ;Cameron;scottish;
3093    ;        ;Campbell;scottish;
3094    ;        ;Mac Amhlaigh;scottish;
3100    ;        ;Mac Léoit;scottish;
3101    ;        ;Mac Domnaill;scottish;
3102    ;        ;Mac DubSithe;scottish;
3103    ;        ;Mac Néill;scottish;
3104    ;        ;Mac Áeda;scottish;6010|6012|6014|203002|83588|83589|83590|83591
3105    ;        ;Mac Cainnig;scottish;
3106    ;        ;na Ceardadh;scottish;
3107    ;        ;Mac Finnagáin;scottish;
3108    ;        ;Mac Gregoir;scottish;967
3109    ;        ;Mac Dubgaill;scottish;
3110    ;        ;Gunn;norwegian;
3111    ;        ;Mac in Rothaich;scottish;
3112    ;        ;Neacail;scottish;
3113    ;        ;Ceiteach;irish;
3117    ;        ;a' Phearsain;scottish;
3119    ;        ;Friseal;scottish;
3099    ;        ;Grannd;scottish;
3098    ;        ;Sdíbard;scottish;
3097    ;        ;Lachlainn;scottish;
3138    ;        ;Craigies;scottish;
3114    ;        ;Mac Bethain;scottish;220038
3115    ;        ;Mac in Toisich;scottish;
3116    ;        ;Mac Gillebrath;scottish;
3096    ;        ;Mac a' Phearsain;scottish;
3118    ;        ;Barclay;scottish;
3095    ;        ;Fraser;scottish;
3120    ;        ;de Ramsay;scottish;
3121    ;        ;Mac Duib;scottish;131002|131004|202977|202978|203010|203033|203034|220039|453008|453010|453038|453039|453041|453065|453516|7366|7369|7386|7398|7399|453068|453069|188924
3122    ;        ;de Lindsay;scottish;332035|454992|453609|161375|161376|161377|161378|161379|161380|161381|161382
3123    ;        ;de Brus;norman;144949|144950|203546|203547|453061|453073|453500|453501|453503|453504|453505|453506|453507|453508|453509|453510|453511|453512|453513|453514|453515|453517|453520|453522|7617|144947|144948
3124    ;        ;Ceanadach;scottish;
3125    ;        ;Douglas;scottish;453518|453519|453600|453603|453605|453606|453607|453608|453610|453611|7289|7290|7291|1226775|1226776|1226777|1226778
3126    ;        ;Mac Fergusa;scottish;
3127    ;        ;Mac Amlaigh;scottish;
3128    ;        ;Caimbeul;scottish;453009|453071|453074|453075|453077|453078|453079|453080|7279|188920|188934|188935|188936|188937|188938|188939|188940|188941|188942|188943|188944
3129    ;        ;Camshron;scottish;
3130    ;        ;Gordon;scottish;
3131    ;        ;Sgain;scottish;
3132    ;        ;Grant;scottish;
3133    ;        ;Wallace;scottish;188957|188958|188959|188960
3134    ;        ;Stewart;scottish;203041|180048|180049|180710|180711|180712|180713|180714|180715|144241|453007|453021|453027|453028|453029|453030|453032|453033|453034|453036|453059|453601|203011|203013|203040|203541|203027|180716|180717|188925
3135    ;        ;Emenon;frankish;163067
3140    ;        ;Forbes;scottish;
3141    ;        ;Armstrong;scottish;
3142    ;        ;Johnston;scottish;
3143    ;        ;Mac Áegusa;scottish;
3145    ;        ;a Sratha Balgaid;scottish;453002|453037
3146    ;        ;Randolph;saxon;453004|453058|453060|453062|7397
3811    ;        ;Bonde;swedish;194235|194236|194237|194238|194239|194240
3950    ;        ;Vajlok;hungarian;157100
3951    ;        ;Wester;swedish;157101
3952    ;        ;Helmehytte;norwegian;
3953    ;        ;Pilhufvud;swedish;157000
4000    ;        ;Percy;saxon;
4001    ;        ;Mortimer;norman;454051|454052|454053|454055|161610|161611|161613|161614|161616|161617|161618|161619|161628|161629|161630|161631|161632|161633|161640|161642|161643|161644|161645|161646|161647|161648|161649|161651|161653|161654|161681|161688|180056|41019
4002    ;        ;Despencer;saxon;161665|161666|161667|161668|161669|161670|161671|161672|161673|454573
4003    ;        ;de Montfort;frankish;144157|144180|144181|144182|144183|144185|144186|204586|204686|205820|205821|205822|205824|41220|41222|41223|41226|455010|462141|70863|7442|7465|7466|91021|91201|138237|161409|200101
4004    ;        ;Neville;norman;
4005    ;        ;Scrope;norman;
4007    ;        ;Bacon;saxon;129036
4008    ;        ;Reresby;saxon;
4009    ;        ;Cornwallis;saxon;
4010    ;        ;Clifford;saxon;454600|454602|454603|454604|82084
4011    ;        ;Giffard;norman;161452|41015|32138|32139|32140|32141|32142|32143|155246|1226031|1226036
4012    ;        ;Crispin;norman;1227359|1227400
4013    ;        ;Carew;saxon;
4014    ;        ;Maddock;saxon;
4015    ;        ;de Turberville;english;
4016    ;        ;Fortescue;saxon;
4017    ;        ;Bourchier;norman;
4018    ;        ;Stanley;norman;
4019    ;        ;de Ros;saxon;454554
4020    ;        ;Talbot;norman;
4021    ;        ;Howard;saxon;
4022    ;        ;Maudit;saxon;
4023    ;        ;d'Audley;norman;454610|454611|161677|161679|161680|161682|161683|161684|161685|161686|161687|161689|161690
4024    ;        ;Berkeley;saxon;332025
4025    ;        ;Barton;saxon;
4026    ;        ;de St John;norman;31005
4027    ;        ;de Seagrave;norman;
4028    ;        ;Colvile;saxon;
4029    ;        ;de Fauconberg;norman;
4030    ;        ;de Leyburne;norman;
4031    ;        ;Grey;saxon;
4032    ;        ;de Greystock;norman;
4033    ;        ;de Lisle;norman;
4034    ;        ;de Burgh;saxon;231055|454050|454106|454107|454150|454151|454152|454153|454154|454155|454612|454613|454614|7458|7460|453502|1227425
4035    ;        ;de Holland;english;454576|454577|183211|183212|183213|183214|183215|183216|183217|183218|183219|183220|183221|183222
4036    ;        ;d'Ufford;norman;454030|454032|454033|454034|454035|454036|454037|454038
4037    ;        ;de Lacy;norman;204020|204021|204022|204023|454023|454040|454043|454045|454047|7284|7428|31381|129082|129084|129085|129087|129089|129090|129083|1227361|1227362|1227363|1227364|1227365|1227421|1227422|1227423|1227424|1227432|1227434|1227435|1227436|1227437|1227438
4038    ;        ;de Frenes;norman;454042
4039    ;        ;Darcy;saxon;454100|454101|454103|454104|454105
4040    ;        ;Butler;english;204038|204039|204041|204042|232680|454110|454111|454113|454114|83375|83376|83377|83378|83379|83380|83381|180790
4041    ;        ;FitzGerald;norman;454112|454120|454121|454122|454123|454124|454125|454126|161453|161454|161455|161456|161458|161459
4042    ;        ;de Cherleton;norman;454210|454212|454213|454214
4043    ;        ;Ua Domnaill;irish;83055|83056|83057|83058|83059|83061|83062|83063|83064|83065|83066|83067|83068|83069|83070|83071|83072
4044    ;        ;Ua Ruairc;irish;
4045    ;        ;Ua Máil Eóin;irish;454204
4046    ;        ;FitzPatrick;irish;
4047    ;        ;d'Avranches;norman;41250|41251|41252|41253|41254|41255|82059|82085|32210
5000    ;        ;d'Harcourt;norman;455433
5001    ;        ;de Rochechouart;frankish;40308|40310|40313|40312|138073|138097|138099|138100|138101|138102|138104|138105|138106|138107|138108
5002    ;        ;de Mortemart;frankish;138398
5003    ;        ;de Gramont;frankish;93806|93807|93808|93809|93810|93811|93812|93813|93814|93815|93816|93817|93818|93819|93820|93821|93822|93823|93824|93825|93826|93827|93828
5004    ;        ;de la Rochefoucauld;frankish;
5005    ;        ;de Caumont;frankish;
5006    ;        ;de Serrant;frankish;
5007    ;        ;de la Roche Aymon;frankish;138425
5008    ;        ;de Lévis;frankish;138281
5009    ;        ;de Villeneuve;frankish;
5010    ;        ;de Prunelé;norman;
5011    ;        ;de Beaufort;norman;
5012    ;        ;de Cosnac;norman;
5013    ;        ;de Beauffremont;frankish;
5014    ;        ;de Chalencon;frankish;10039
5015    ;        ;de Polignac;frankish;
5016    ;        ;de Riencourt;frankish;
5017    ;        ;de Matignon;norman;
5018    ;        ;de Pontevès;occitan;
5019    ;        ;de Sabran;occitan;10035|91142
5020    ;        ;de Crussol;occitan;
5021    ;        ;de Quatrebarbes;occitan;
5022    ;        ;de Menthon;frankish;
5023    ;        ;d'Argouges;frankish;
5024    ;        ;de Noailles;frankish;
5025    ;        ;de Mostuejouls;frankish;
5026    ;        ;de Briey;frankish;
5027    ;        ;de Vogué;frankish;138393
5028    ;        ;de la Panouse;occitan;
5029    ;        ;de Tournemire;frankish;
5030    ;        ;de Curières;frankish;
5031    ;        ;de Lévezou;occitan;
5032    ;        ;de Beauvau;frankish;
5033    ;        ;de Rohan;norman;
5034    ;        ;Chabot;frankish;138006
5035    ;        ;de Menou;frankish;
5036    ;        ;de la Rochelambert;occitan;
5037    ;        ;de Cadoine;occitan;
5038    ;        ;de Saint-Gilles;frankish;
5039    ;        ;de Montrichard;frankish;
5040    ;        ;d'Abzac;frankish;
5041    ;        ;de Loubens;frankish;
5043    ;        ;de Kerret;occitan;
5044    ;        ;de Donges;occitan;
5045    ;        ;de Pontchâteau;frankish;
5046    ;        ;de Vitré;frankish;
5047    ;        ;d'Estouville;frankish;
5048    ;        ;de Forz;norman;
5049    ;        ;de Mauvoisin;frankish;
5050    ;        ;de Montbray;norman;
5051    ;        ;de Rouvray;occitan;
5052    ;        ;de Say;norman;203043
5053    ;        ;de Blaison;frankish;
5054    ;        ;de Craon;frankish;
5055    ;        ;de l'Isle;norman;
5056    ;        ;de Mayenne;frankish;91129
5057    ;        ;de Mello;frankish;455851|91132|91194|161708|161709|161710|161711|161712|161713|161714|161715|161716|161717|161718|161719|161943|161983
5058    ;        ;des Roches;frankish;155250
5059    ;        ;de Sablé;frankish;
5060    ;        ;d'Avesnes;frankish;31100|31104|31106|31108|31113|31120|31121|31122|462742|462931|487011|487013|94008|94023|31094|31095|31097|31099|31101|31102|31103|31105|31107|31109|31110|31111|31112|31115|31116|31343|455611|455615|462741|91055|94009|94011|31376|91193|161903
5061    ;        ;de Beaumont;norman;204580|204582|204583|204584|204590|204592|204595|204710|204711|204715|204781|204791|7441|7443|7449|7450|7451|32506|129056|161426|161434|161602|129057|204576|204596|204717
5062    ;        ;Clément;frankish;
5063    ;        ;du Perche;frankish;
5064    ;        ;des Barres;frankish;
5065    ;        ;de Senlis;norman;161435|161436|161437|161438|161439|161446|161447|204786|161431|161432|161433
5066    ;        ;de Campistron;frankish;205896
